,text,Trump,Biden,West,HOF
38,Someone yell go home pilgrims Trump supporters Mooney,Neutral mentions,Neither,Neither,Non-Hateful
39,Its go get worse NEWLINE Pay attention Catholics NEWLINE NEWLINE RememberinNovember NEWLINE FoxAndFriends MAGA Ccot ACB NEWLINE Trump KAG KAG NEWLINE SaturdayMorning SaturdayThoughts NEWLINE COVID NEWLINE NEWLINE,Favor,Neither,Neither,Non-Hateful
40,GhostWritingUSA redwins first Unless shes suffer severe menstrual cramp shes lose fing mind Thats TDS weak mind Trump Trump Landslide,Favor,Neither,Neither,Hateful
41,like presidents arent incompetent dont lie dont promote hate corrupt treasonous TrumpLiedAmericansDied TrumpIsANationalDisgrace BidenHarris,Against,Favor,Neither,Hateful
42,Police Trump arrive Trump BackTheBlue MAGA MAGA Peacefulprotest TrumpRally,Favor,Neither,Neither,Non-Hateful
43,listen BidenHarris call BarackObama KamalaHarris MichaelBJordan VOTE also request yard sign local candidate SeanCasten VoteCasten Check,Neither,Favor,Neither,Non-Hateful
44,intolerant leave support Biden responsible daily violence around country defunding police days Riots Portland NEWLINE NEWLINE VoteRED RemoveEveryDemocrat LawAndOrder DefendPolice MAGA Trump,Favor,Against,Neither,Non-Hateful
45,Joe Biden say SUPER PREDATORS,Neither,Against,Neither,Non-Hateful
46,lovin speeches TRUTH Joe Barack Kamala GOOD GUYS JEDI KNIGHTS NEWLINE NEWLINE Defeat TWITTER TROLL TRUMP occupy White House save us toxic bile Block vote Biden Harris,Against,Favor,Neither,Non-Hateful
47,Manny Funes realDonaldTrump JoeBiden first vote Reagan realDonaldTrump Republican Biden,Against,Favor,Neither,Non-Hateful
48,Amen President Trump Never Live Lives Fear TrumpCovid Trump realDonaldTrump,Favor,Neither,Neither,Non-Hateful
49,GOPChairwoman Oh please he s upset zoom mute button NEWLINE NEWLINE Crybaby Trump,Against,Neither,Neither,Hateful
50,BonkersBrat jerryImassey know agree entirely say greatest president want know why,Neither,Neither,Neither,Non-Hateful
51,realDonaldTrump First win debate unhinge disrespectful clown Second go ahead cop out us big favor November rd cannot come fast enough BidenHarris,Against,Favor,Neither,Non-Hateful
52,Joe Biden Imbecile doesnt deserve President know happen win find incompetent serve Kamala Harris become President Nancy Pelosi if dems retain house Vice President country go hell,Neither,Against,Neither,Hateful
53,TrumpTaxReturns BULLSHIT VoteBidenHarris VoteBlue,Against,Favor,Neither,Hateful
54,Looks like even CNN grow tire No Answer Biden Cannot get square answer even spokes people Packing Court Time come one would hope Liberals hatred Trump Give America Lose something never recover,Neutral mentions,Against,Neither,Non-Hateful
55,mama c KazePlays JC Im raise glass bubbly toast newly elect President Vice President Congrats Joe Biden Kamala Harris NEWLINE,Neither,Favor,Neither,Non-Hateful
56,steve vladeck Joe Biden Kamala Harris bus part campaign Congress need declare war foreign domestic interference upon elections,Neither,Neutral mentions,Neither,Non-Hateful
57,Forget lack enthusiasm BS NEWLINE BidenHarris,Neither,Favor,Neither,Hateful
58,Hey JoeBiden president u nominate MichelleObama Supreme Court think would amaze supremecourt BidenHarris,Neither,Favor,Neither,Non-Hateful
59,wonder many baby make last night Jo Joe Joey Kamala ElectionResults BidenHarris,Neither,Neutral mentions,Neither,Non-Hateful
60,DouglasEmhoff JoeBiden KamalaHarris VOTE PERSONFOR PRESIDENT TRUMP IGNORANT JOE DUHHH LAUGHING KAMALA AFRICAN AMERICAN SHES LIAR,Favor,Against,Neither,Non-Hateful
61,difference economic plan Joe Biden Trump stark NEWLINE NEWLINE Biden want rebuild America understand create job infrastructure build key Govt heavy lift NEWLINE NEWLINE TrumpHasNoPlan NEWLINE NEWLINE VoteBlue NEWLINE wtpBiden NEWLINE wtpBlue NEWLINE ONEV,Against,Favor,Neither,Non-Hateful
62,Hi I m call let know Joe Biden Kamala Harris throw prison gun like drug they ll keep war go they re nicer Twitter there s that,Neither,Against,Neither,Non-Hateful
63,murky water clear see Chinese Communist Government radical lefts dream Throw little US Secret Neuro Wepons Conservatives DREAM COMPLETE MAGA F up,Favor,Neither,Neither,Hateful
64,Time move focus debt tax fraud lie follow money Trump owe MM to wont Trump condemn Putin ever NEWLINE TrumpHasNoPlan TrumpLies TrumpTaxFraud TrumpVirusCatastrophe DumpTrump VOTE BidenHarris,Against,Favor,Neither,Non-Hateful
65,Increase fund Minority Business Development Agency budget NEWLINE NEWLINE Make sure economic relief COVID reach BlackBusiness need most NEWLINE NEWLINE Reserve half new PPP fund SmallBusinesses employees less NEWLINE NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
66,sibbykirch Yay Voted today BidenHarris,Neither,Favor,Neither,Non-Hateful
67,GOT BALLOT can t friggen wait EndthisNightmare vote BidenHarris country planet people,Against,Favor,Neither,Non-Hateful
68,NEWLINE OMG OMG OMG OMG OMG NEWLINE NEWLINE I spot first BidenHarris yard sign street NEWLINE NEWLINE My street mile half live end it NEWLINE NEWLINE Now theres Two Biden Harris sign amongst sea guy sign NEWLINE NEWLINE OMG OMG OMG OMG OMG NEWLINE,Neither,Favor,Neither,Non-Hateful
69,FPWellman comment service persons kiss Hicks creepy inappropriate He however could telegraph truth inasmuch Trump Hicks allegedly close well may kiss bandit question BidenHarris,Against,Favor,Neither,Non-Hateful
70,First ICE TX ICE GA accuse perform unwanted unauthorized medical procedures immigrant women NEWLINE Why say BlackLivesMatter live matter Black live matter NEWLINE Joe Biden decent man put stop this CountOnUs Biden,Neither,Favor,Neither,Non-Hateful
71,ever say im staten island didnt BidenHarris COVIDIOTS,Neither,Favor,Neither,Hateful
72,gold dust lady Teachers deserve pay be drug abusers belong prison student loan crisis need address However Kamala Harris brag mass incarceration towards marijuana users Joe Biden never LGBTQ community,Neither,Against,Neither,Non-Hateful
73,Trump NEWLINE NEWLINE My state allow person vote year appal,Favor,Neither,Neither,Non-Hateful
74,TonyBrunoShow HillaryClinton joe step due health kamala pres choose hillary VP kamala succumb covid hillary president dec OldTakesExposed,Neither,Neutral mentions,Neither,Non-Hateful
75,BallotHarvesting NEWLINE Maine NEWLINE Ruling NEWLINE Texas NEWLINE Winning NEWLINE Trump NEWLINE TWO HUGE COURT RULINGS GOP NEWLINE Maine Blocks Illegal Democrat Ballot Harvesting Texas Blocks Straight Party Ballot Option NEWLINE,Favor,Neither,Neither,Non-Hateful
76,ForeverPoverty sahilkapur thereidout Impeachment hoax Stop it man deserve impeachment many others Recounts never overturn anything President Joe Biden Vice President Kamala Harris freeatlast GetOutTrump duecestrump,Against,Favor,Neither,Non-Hateful
77,Joe Biden get huge slap face black celebrity drop truth bomb,Neither,Neutral mentions,Neither,Non-Hateful
78,Joe Biden Kamala hoarse cede time time wand BAN fracking NEWLINE Check yourself NEWLINE Original tweet Mike Pence,Neutral mentions,Against,Neither,Non-Hateful
79,million unemployed million send Covita eviction notice BidenHarris VoteHimOut,Against,Favor,Neither,Non-Hateful
80,gtconway d JoeBiden realDonaldTrump important thing love support show son Hunter addiction game changer one ever allow mock person recovery mind make debate Im convince BidenHarris answer,Against,Favor,Neither,Non-Hateful
81,NEW VIDEO If Donald Trump re elect progress we ve make jeopardy future Democracy stake future economy stake future planet stake must come together defeat Trump elect Biden ListenToBernie,Neutral mentions,Neutral mentions,Neither,Non-Hateful
82,Change Coming VOTE Joe Biden Kamala Harris,Against,Neutral mentions,Neither,Non-Hateful
83,JesseRodriguez IntelCrab carolelee MSNBC Simpson s become Taboo days Trump,Neutral mentions,Neither,Neither,Non-Hateful
84,RawStory malice toward none charity all UNITED States American BidenHarris,Neither,Favor,Neither,Non-Hateful
85,ananavarro JudiciaryGOP Joe Biden strength mental capacity campaign go run country Kamala Harris take want next president ask question,Neither,Against,Neither,Non-Hateful
86,CharleneforAZ JoeBiden No mean Harris back,Neither,Against,Neither,Non-Hateful
87,nancybknits SenBlumenthal gonna happen Senate can allow do confirm bad sad Besides delay inevitable TRUMP,Favor,Neither,Neither,Non-Hateful
88,James Corden Parodies Trumps Coronavirus Diagnosis Maybe Im Immune Song,Neutral mentions,Neither,Neither,Non-Hateful
89,Ben Crump lawyer family write Twitter failure charge officer kill Ms Taylor outrageous offensive NEWLINE PoliceBrutality BreonnaTaylor MurderUnderColorOfLaw BidenHarris VoteBlue,Neither,Favor,Neither,Non-Hateful
90,POTUS work hospitalize fight Americans UnitedWeStand DividedWeFall Congress get do Trump MAGA,Favor,Neither,Neither,Non-Hateful
91,Got Trump swag today excite,Favor,Neither,Neither,Non-Hateful
92,Ballot Marked Joe Biden Kamala Harris Join Us Vote Women Ballot,Neither,Neutral mentions,Neither,Non-Hateful
93,seanhannity Love race baiters problem country Slow Joe racist racists race baiter master baiter race baiters TRUMP PENCE PENCE,Favor,Against,Neither,Non-Hateful
94,realDonaldTrump STOP LYING say crap get re elect again time UP Hit door get steppin Biden honorable great new President middle toe decency whole EXISTENCE VOTETRUMPOUT BidenHarris joebiden kamalaharris,Against,Favor,Neither,Non-Hateful
95,love priest say WATCH Courageous Priest Speaks TRUTH Joe Biden Kamala Harris,Neither,Against,Neither,Non-Hateful
96,JoeBiden realDonaldTrump point able stop either Trump,Favor,Neutral mentions,Neither,Non-Hateful
97,ThAlMeArCrEq JJCopes fuzzytoad mamberg DANNYCARLINO JoeConchaTV So think Trump fix law,Neutral mentions,Neither,Neither,Non-Hateful
98,Voted today Please find time vote vote BidenHarris,Neither,Favor,Neither,Non-Hateful
99,LyingBiden bust BidenHarris,Neither,Against,Neither,Non-Hateful
100,TwitterMoments Come fascism stay coronavirus Please Trump voter Florida come rally hope get sick enough able make vote election day,Against,Neither,Neither,Non-Hateful
101,johncusack girlfriend difficulty walk stand due MS find strength stand line almost hour cast vote Joe Biden Kamala Harris yesterday bluewave,Neither,Favor,Neither,Non-Hateful
102,strongest nation God strength show love Allies must believe show world want peace way get vote Joe Biden Kamala Harris make difference,Neither,Favor,Neither,Non-Hateful
103,Ok here s better one trim bush no trim tweet dat s dangerous sweep porch BidenHarris VPDebate,Neither,Favor,Neither,Non-Hateful
104,tctess KamalaHarris Wow wow cousin s daughter box seat watch Kamala Harris Joe Biden take America back great place respect NEWLINE NEWLINE Congrats,Neither,Favor,Neither,Non-Hateful
105,Mike Pence talk soo much shit literally fly,Against,Neither,Neither,Hateful
106,Lavish spend spree Biden s use chinese credit card Multiple flight china suspicious time Millions take Russians Business deal w Chinese communists really want vote Biden this NEWLINE NEWLINE Trump MAGA NEWLINE,Favor,Against,Neither,Non-Hateful
107,SpeakerPelosi reality grind different reality everyone elses grind MAGA,Favor,Neither,Neither,Non-Hateful
108,Remember Patriots The thing necessary triumph evil good men women nothing NEWLINE We need stand president realDonaldTrump march head high finish line prevail MAGA Trump TrumpTrain DrainTheSwamp,Favor,Neither,Neither,Non-Hateful
109,fellow Patriots Warcraft players ever feel like knock back cold one I m much drinker nice able knock one back can restrictions That s free about Shadowlands Trump,Favor,Neither,Neither,Non-Hateful
110,Joe Biden go cast vote bet vote Trump,Neutral mentions,Against,Neither,Non-Hateful
111,Writing postcards send week voteblue Gilbert Arizona,Neither,Favor,Neither,Non-Hateful
112,anarcha kamala harris good thing trans people mean ignore misincarcerating trans women interest take convince joe biden m a,Neither,Mixed,Neither,Hateful
113,samanthamarika able try change Joe Biden Well its really obvious Kamala president anyway,Neither,Mixed,Neither,Non-Hateful
114,need invest K education raise teacher pay provide student loan relief end cycle poverty nation NEWLINE NEWLINE ColMorrisDavis commit invest future NEWLINE NEWLINE NC DemCastNC NorthCarolina NEWLINE ProtectPublicEducation VoteBlue,Neither,Favor,Neither,Non-Hateful
115,JoeBiden No whiny baby voice mix I d make epic shut man ring tone Go Joe bidenharris,Neither,Favor,Neither,Non-Hateful
116,Everyone get blue team Dwill win Joe Biden Kamala Harris United States American last USA want world map,Neither,Favor,Neither,Non-Hateful
117,Scoop DNI Ratcliffe stray prepare remark last week say publicly Iran s spoof email intimidate Dems aim damage President Trump blindside FBI Director Wray CISA Director Chris Krebs stand behind him,Neutral mentions,Neither,Neither,Non-Hateful
118,Jeezus genuinely cringe every time hear Antifa refer Far Left movement whoever say it NEWLINE TrumpMeltdown ProudBoys kkk MAGA VoteBlue,Against,Favor,Neither,Non-Hateful
119,Thank President Obama need Joe Biden Kamala Harris White House fight healthcare,Neither,Favor,Neither,Non-Hateful
120,the real mathis AOC realDonaldTrump So back original tweet thank goodness saw debate night know vote job kill anti fracking oil hat Joe Biden blind Kamala trump make see Joe still racist,Favor,Against,Neither,Non-Hateful
121,JuddPDeere WhiteHouse realDonaldTrump go bye bye President Kamala,Neutral mentions,Against,Neither,Non-Hateful
122,blm NEWLINE DefundThePolice NEWLINE maga NEWLINE Trump NEWLINE mad liberals NEWLINE My contributions meme universe spell HYPOCRISY,Neutral mentions,Neither,Neither,Non-Hateful
123,FAR BidenHarris,Neither,Favor,Neither,Non-Hateful
124,elect Twitter lie go along bad people be Trump refuse condemn racists even though mult time Even post vid constantly still goin doubledown TrumpIsARacist Trump Trump,Against,Neither,Neither,Non-Hateful
125,KING in MEMPHIS ppl eventually see Truth fight civilrights ALL then hypocrites indecent ppl Selfish VotesDOmatter must join together betterment ALL NEWLINE NEWLINE VOTE NEWLINE VoteEarly NEWLINE VoteBlueToSaveAmerica NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
126,pulte Except isnt private BidenHarris BidenforAmerica,Neither,Favor,Neither,Non-Hateful
127,Replaced classic flag arrive NEWLINE MAGA realDonaldTrump,Favor,Neither,Neither,Non-Hateful
128,Let s let last night s announcement distract NEWLINE NEWLINE complacency remember face NEWLINE voter suppression NEWLINE misinformation campaign NEWLINE foreign influence NEWLINE massive unemployment NEWLINE still COVID strategy NEWLINE NEWLINE RegisterDonateVolunteerVote NEWLINE NEWLINE HaveAPlanToVote NEWLINE NEWLINE BidenHarris,Neither,Favor,Neither,Non-Hateful
129,RobertW follow back let s stick together great president Trump Trump,Favor,Neither,Neither,Non-Hateful
130,debbied Denlesks RealEricCarmen Sorry happen you respect however much look one liberals wrong swear physically assault them Keep faith thank support Donald J Trump TRUMP,Favor,Neither,Neither,Non-Hateful
131,realDonaldTrump poll skew towards TheDemocrats poll matter conduct November NEWLINE NEWLINE DrainTheSwamp NEWLINE Trump NEWLINE MAGA,Favor,Against,Neither,Non-Hateful
132,TheHeinz JoeBiden Love Putin quote lol PutinsPuppy BidenHarris,Neither,Favor,Neither,Hateful
133,dont know make Bidens ads remarkable,Neither,Favor,Neither,Non-Hateful
134,realDonaldTrump POTUS Praise God love co ti pray support FLOTUS Trump CubanosconTrump MiamiconTrump LatinosForTrump MAGA,Favor,Neither,Neither,Non-Hateful
135,would AMERICA shock DEMOCRAPS shady people look TRUMP THEGLOVESROFF DRAINTHESWAMP,Favor,Neither,Neither,Hateful
136,Choose Kamala Friday NEWLINE NEWLINE Which one yours MVPHarris BidenHarris,Neither,Favor,Neither,Non-Hateful
137,Trump supporters think law work NEWLINE NEWLINE Judge commit many terrible crimes NEWLINE Trump Hillary email server NEWLINE Judge see free go NEWLINE TrumpCrimeFamily,Against,Neither,Neither,Hateful
138,seanhannity mean million DEMONCRATIC VOTERS NEWLINE DrainTheSwamp NEWLINE TRUMP BuildTheWall NEWLINE SCAMDEMIC NEWLINE,Favor,Against,Neither,Hateful
139,NativePalate suitcasenall decent man Hes fool kind heart right amount shrewdness NEWLINE NEWLINE Joe Biden bridge give Obama stability give Kamala path Theres strong chance hell see way history,Neither,Favor,Neither,Non-Hateful
140,OregonGovBrown Joe Biden Kamala Harris admin add US Gov National Election office DHS US Gov fund direct Vote Mail US States standardize form time ballot procedures SpeakerPelosi RonWyden SenJeffMerkley RepSwalwell RepAdamSchiff,Neither,Neutral mentions,Neither,Non-Hateful
141,Constitution NEWLINE Separation power NEWLINE Separation Church State NEWLINE NEWLINE GOP NEWLINE Separation race NEWLINE Separation families NEWLINE NEWLINE FlipTheSenateBlue BidenHarris,Against,Favor,Neither,Non-Hateful
142,HAPPENED DOWNTOWN WACO TEXAS BidenHarris parade VoteBlue Texas,Neither,Favor,Neither,Non-Hateful
143,lay sleep NEWLINE I pray Lord soul keep NEWLINE If die wake NEWLINE Ill go know already cast ballot NEWLINE For Joe Biden NEWLINE And Kamala Harris,Neither,Favor,Neither,Non-Hateful
144,SenatorDole realDonaldTrump debate bias Wallace rediculous Page quick stop Pence talk let Harris go on Questions aim Trump,Neutral mentions,Neutral mentions,Neither,Non-Hateful
145,dont stop count Keep count hell trump TrustTheProcess let s go Nevada get drink bar count time roll joe Kamala Harris,Against,Favor,Neither,Non-Hateful
146,TRUMP President always stand heroes LAW ENFORCEMENT NEWLINE NEWLINE BackTheBlue NEWLINE BlueLIVESMatter NEWLINE Trump,Favor,Neither,Neither,Non-Hateful
147,Joe win like Princess Diana something happen Kamala Harris become first Black Lady President system break people Come together save all save America stronger together nation God come together,Neither,Against,Neither,Non-Hateful
148,never think bidens son look cool picture many orgasming over look like rich rapist right,Neither,Against,Neither,Hateful
149,Dr Sean Conley make sure stock market satisfy That s saw Trump brand ToxicPositivity everything huge red flag deserve truth VOTE BidenHarris COVID,Against,Favor,Neither,Non-Hateful
150,GinaSpadafori JoyceWhiteVance realDonaldTrump Inflated number NEWLINE Democrats ones claim NEWLINE Since muh impeachment fail theyve use virus try destroy POTUS AmericaFirst win fail come riot loot NEWLINE DemocratsAreCorrupt WalkAway VoteDemsOut VoteRed Trump,Favor,Against,Neither,Non-Hateful
151,JoeKnowsHow that s I m vote BidenHarris,Neither,Favor,Neither,Non-Hateful
152,gop do attempt weaken US democracy prove us vote Joe Biden Kamala Harris Democrats ballot exactly right thing country forget January mid term chance,Against,Favor,Neither,Non-Hateful
153,Kamala Harris laugh incredulously Pence twist word insult Biden interrupt her outright lie every woman laugh keep cool face male colleagues thing,Against,Neutral mentions,Neither,Non-Hateful
154,THATS IT want TheLeoTerrell moderate next Debates NEWLINE MAGA Trump NEWLINE NEWLINE,Against,Neither,Neither,Non-Hateful
155,Trumps defeat Covid even impress Chuck Norris MAGA TrumpLandslide,Favor,Neither,Neither,Non-Hateful
156,realDonaldTrump realDonaldTrump warrior ChrisWallace shit job Biden still nothing Crickets FourMoreYears Trump,Favor,Against,Neither,Non-Hateful
157,realDonaldTrump good luck tonight Mr President Trump,Favor,Neither,Neither,Non-Hateful
158,SenKamalaHarris Trump DECEIVER supporters TRANCE Thousands die matter them like zombies blindly follow Trumps bellow Joe Jill Kamala break spell consistant help Barack Michelle Obama NEWLINE,Against,Favor,Neither,Non-Hateful
159,President Trump physician say anticipate Trump able return public engagements Saturday,Neutral mentions,Neither,Neither,Non-Hateful
160,KyleKulinski Trump doesnt get it Never will,Against,Neither,Neither,Non-Hateful
161,realDonaldTrump explain You lose Happened popular vote Happened house get flip Happening now make happen Nov rd BidenHarris BlueWaveDownBallot,Against,Favor,Neither,Non-Hateful
162,Biden lead Trump point Michigan Nevada race tie Iowa poll,Neutral mentions,Neutral mentions,Neither,Non-Hateful
163,Thursday January Democrats employ thAmendment remove Joe Biden power make way President Kamala Harris NEWLINE NEWLINE Republicans counter insist Joe sharp tack,Neither,Mixed,Neither,Non-Hateful
164,disgust Leftist Media use anonymous source attempt bring Trump Joe Biden call American Soldiers Stupid Bastards Joe Biden disgust vile sick individual NEWLINE NEWLINE StupidBastards NEWLINE NEWLINE Trump Biden BidenHarris,Favor,Against,Neither,Hateful
165,CubanAmerican BlessUSA Sad America longer trust post office press elect State Federal officials especially Congress NEWLINE NEWLINE But trust great President Trump NEWLINE NEWLINE MAGA Trump,Favor,Neither,Neither,Non-Hateful
166,BarackObama JoeBiden KamalaHarris Thank Barack encourage word congratulate Joe Biden Kamala Harris effort Americans vote,Neither,Favor,Neither,Non-Hateful
167,wait Kim Putin complete trifecta,Neither,Neither,Neither,Non-Hateful
168,BidenHarris cause Trump supporters care anyone anything,Neutral mentions,Favor,Neither,Non-Hateful
169,Facebook approve Nazi ism condone love NEWLINE NEWLINE Holy crap Im angry this NEWLINE NEWLINE F ck Facebook NEWLINE NEWLINE Biden NEWLINE ProudBoys,Neither,Favor,Neither,Hateful
170,r barath Kaalateetham Democrats great opportunity select Tulsi Gabbard presidential candidate own Kamala Harris democrats debate NEWLINE I guess too real DNC lead name smear NEWLINE Instead choose stooge name Joe miss k name,Neither,Against,Neither,Non-Hateful
171,cthagod understand support Joe Biden year racist politician support segregation s refer black Super Predators NEWLINE Kamala Harris Jamaican India heritage family Jamaica s largest traders slave NEWLINE RappersForTrump,Favor,Against,Neither,Non-Hateful
172,wish death upon th President United States America Donald J Trump really deserve die honestly trump covidhurryup MAGA CovidTrump COVIDMAGA,Against,Neither,Neither,Hateful
173,CNNPolitics never think would see day I m excite presidential debate today date trump,Favor,Neither,Neither,Non-Hateful
174,Im truly scar Joe Biden deem unfit run President Kamala Harris become President im afraid make many friends countries leaders,Neither,Mixed,Neither,Non-Hateful
175,Check Kelly Manno s video TikTok BidenHarris AmericaNeedsBiden,Neither,Favor,Neither,Non-Hateful
176,Breaking SpeakerPelosi push invoke th Amendment remove Trump power NEWLINE NEWLINE The question be GOP get board still loyal orange stain Emperor Covidicus,Against,Neither,Neither,Hateful
177,johntrdla kevv charles TomiLahren ScottCRoark silly nelly queen Nothing come except President Joe Biden Vice President Kamala Harris Con lose,Against,Favor,Neither,Hateful
178,Rudy Giuliani Father Please Everyone Vote Joe Biden Kamala Harris,Neither,Favor,Neither,Non-Hateful
179,just ugh SHAME FOREVER it NEWLINE NEWLINE VOTE BidenHarris,Neither,Favor,Neither,Non-Hateful
180,Trump healthy enough town hall he s healthy enough debate NEWLINE NEWLINE He want debate get shit kick last time EOS,Against,Neither,Neither,Non-Hateful
