raw_sentence,corpus_name,clean_sentence_training,tokenized,clean_sentence_EDA,label
@USER At this point in time... I don't think Pres. Trump gives a <b>shit</b> and neither do I! LOL URL,Abusive_Swearing,At point time I n't think Pres Trump give shit neither I LOL URL,At point time ... I n't think Pres . Trump gives  shit  neither I ! LOL URL ,At point time I n't think Pres Trump give shit neither I LOL URL,0
@USER @USER @USER <b>bullshit</b> Regulations are good because it keeps conservatives from striping our land into the Abyss,Abusive_Swearing,bullshit Regulations good keep conservative striping land Abyss, bullshit  Regulations good keeps conservatives striping land Abyss ,bullshit Regulations good keep conservative striping land Abyss,0
@USER you <b>fucking</b> -,Abusive_Swearing,fucking, fucking  - ,fucking,1
@USER Yeah we need some more made up <b>bullshit</b> protestors and antifa lol time for an epic beatdown😉,Abusive_Swearing,Yeah need made bullshit protestors antifa lol time epic beatdown😉,Yeah need made  bullshit  protestors antifa lol time epic beatdown😉 ,Yeah need made bullshit protestors antifa lol time epic beatdown,1
@USER By the way why don’t you move to Haiti ? You liberals seem to make <b>shit</b> holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,Abusive_Swearing,By way ’ move Haiti You liberal seem make shit hole large city So go somewhere ’ already shit hole ’ work,By way ’ move Haiti ? You liberals seem make  shit  holes large cities . So go somewhere ’ already shit hole ’ work ! ,By way ’ move Haiti You liberal seem make shit hole large city So go somewhere ’ already shit hole ’ work,0
@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a <b>shit</b> hole so you don’t have to do any work !,Abusive_Swearing,By way ’ move Haiti You liberal seem make shit hole large city So go somewhere ’ already shit hole ’ work,By way ’ move Haiti ? You liberals seem make shit holes large cities . So go somewhere ’ already  shit  hole ’ work ! ,By way ’ move Haiti You liberal seem make shit hole large city So go somewhere ’ already shit hole ’ work,1
Shouldn't <b>pussy</b> grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,Abusive_Swearing,Should n't pussy grabbing one wearing glove handling food MAGA URL,Should n't  pussy  grabbing one wearing gloves handling food ? # MAGA URL ,Should n't pussy grabbing one wearing glove handling food MAGA URL,0
@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the <b>shit</b> that goes on in your head.,Abusive_Swearing,May forgotten moment EU citizen right afforded u EU citizen Don ’ believe shit go head,May forgotten moment EU citizens rights afforded us EU citizens . Don ’ believe  shit  goes head . ,May forgotten moment EU citizen right afforded u EU citizen Don ’ believe shit go head,0
@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the <b>hell</b> that is,Abusive_Swearing,Just looked work History listed Board Leading Age Services Aust LASA come Medicare Local Alliance ever hell,Just looked work History listed Board Leading Age Services Aust ( LASA ) comes Medicare Local Alliance ... ever  hell  ,Just looked work History listed Board Leading Age Services Aust LASA come Medicare Local Alliance ever hell,0
@USER Cause who <b>bitches</b> be playing with 😭😭😭😭 god aint give me the gift for nothing,Abusive_Swearing,Cause bitch playing 😭😭😭😭 god aint give gift nothing,Cause  bitches  playing 😭😭😭😭 god aint give gift nothing ,Cause bitch playing  god aint give gift nothing,1
@USER Coming from the man that threatened to try and kick Turmps <b>ass</b> now don't that take a set of ball's,Abusive_Swearing,Coming man threatened try kick Turmps as n't take set ball 's,Coming man threatened try kick Turmps  ass  n't take set ball 's ,Coming man threatened try kick Turmps as n't take set ball 's,0
@USER @USER @USER @USER @USER <b>bitch</b> URL,Abusive_Swearing,bitch URL, bitch  URL ,bitch URL,1
@USER yea your the <b>bitch</b> on the right getting smacked URL,Abusive_Swearing,yea bitch right getting smacked URL,yea  bitch  right getting smacked URL ,yea bitch right getting smacked URL,1
@USER Bro go watch how he hold his backwood in the interview like that <b>shit</b> was irritating lmao nigga is mad suspicious,Abusive_Swearing,Bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,Bro go watch hold backwood interview like  shit  irritating lmao nigga mad suspicious ,Bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,0
@USER Bro go watch how he hold his backwood in the interview like that shit was irritating lmao <b>nigga</b> is mad suspicious,Abusive_Swearing,Bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,Bro go watch hold backwood interview like shit irritating lmao  nigga  mad suspicious ,Bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,0
A <b>bitch</b> built like that could beat my ass all she wants URL,Abusive_Swearing,A bitch built like could beat as want URL,A  bitch  built like could beat ass wants URL ,A bitch built like could beat as want URL,1
A bitch built like that could beat my <b>ass</b> all she wants URL,Abusive_Swearing,A bitch built like could beat as want URL,A bitch built like could beat  ass  wants URL ,A bitch built like could beat as want URL,0
@USER What the <b>fuck</b> game are you watching?,Abusive_Swearing,What fuck game watching,What  fuck  game watching ? ,What fuck game watching,0
@USER If you go by anything other than he or she you are <b>fucked</b> in the head.,Abusive_Swearing,If go anything fucked head,If go anything  fucked  head . ,If go anything fucked head,1
#ThursdayThoughts- <b>fuck</b> liberals. Forever.,Abusive_Swearing,ThursdayThoughts fuck liberal Forever,# ThursdayThoughts-  fuck  liberals . Forever . ,ThursdayThoughts fuck liberal Forever,1
@USER @USER Mxm <b>nigger</b> thinks we give a fuck URL,Abusive_Swearing,Mxm nigger think give fuck URL,Mxm  nigger  thinks give fuck URL ,Mxm nigger think give fuck URL,1
@USER @USER Mxm nigger thinks we give a <b>fuck</b> URL,Abusive_Swearing,Mxm nigger think give fuck URL,Mxm nigger thinks give  fuck  URL ,Mxm nigger think give fuck URL,0
@USER What insanely ridiculous <b>bullshit</b>,Abusive_Swearing,What insanely ridiculous bullshit,What insanely ridiculous  bullshit  ,What insanely ridiculous bullshit,1
@USER We shouldn’t be surprised. These same pigs worked with neonazis to unmask antifa protestors. And the local coverage by <b>shit</b> journos like @USER didn’t cover that AT ALL. We had to rely on @USER for investigative coverage URL,Abusive_Swearing,We ’ surprised These pig worked neonazis unmask antifa protestors And local coverage shit journos like ’ cover AT ALL We rely investigative coverage URL,We ’ surprised . These pigs worked neonazis unmask antifa protestors . And local coverage  shit  journos like ’ cover AT ALL . We rely investigative coverage URL ,We ’ surprised These pig worked neonazis unmask antifa protestors And local coverage shit journos like ’ cover AT ALL We rely investigative coverage URL,1
(2020 election season) Trump: my <b>dick</b> is the most magnificent dick Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips dick out in fit of senility* Conservatives: *vote Trump to victory*,Abusive_Swearing,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,( 2020 election season ) Trump :  dick  magnificent dick Just tremendous . Leftists : prove Russian puppet ! Trump : * whips dick fit senility * Conservatives : * vote Trump victory * ,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,1
(2020 election season) Trump: my dick is the most magnificent <b>dick</b> Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips dick out in fit of senility* Conservatives: *vote Trump to victory*,Abusive_Swearing,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,( 2020 election season ) Trump : dick magnificent  dick  Just tremendous . Leftists : prove Russian puppet ! Trump : * whips dick fit senility * Conservatives : * vote Trump victory * ,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,1
(2020 election season) Trump: my dick is the most magnificent dick Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips <b>dick</b> out in fit of senility* Conservatives: *vote Trump to victory*,Abusive_Swearing,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,( 2020 election season ) Trump : dick magnificent dick Just tremendous . Leftists : prove Russian puppet ! Trump : * whips  dick  fit senility * Conservatives : * vote Trump victory * ,2020 election season Trump dick magnificent dick Just tremendous Leftists prove Russian puppet Trump whip dick fit senility Conservatives vote Trump victory,1
@USER <b>hell</b> did they boycott McEnroe.....this is too much!!,Abusive_Swearing,hell boycott McEnroe much, hell  boycott McEnroe ..... much ! ! ,hell boycott McEnroe much,0
@USER IM GOING HARDCORE <b>bitch</b>,Abusive_Swearing,IM GOING HARDCORE bitch,IM GOING HARDCORE  bitch  ,IM GOING HARDCORE bitch,1
@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the <b>hell</b>,Abusive_Swearing,I used signifing monkey heart Played wife like hell,I used signifing monkey heart . Played wife like  hell  ,I used signifing monkey heart Played wife like hell,0
@USER 2018 charts she is. Overall <b>fuck</b> no. Cardi got ways to go to catch niki,Abusive_Swearing,2018 chart Overall fuck Cardi got way go catch niki,2018 charts . Overall  fuck  . Cardi got ways go catch niki ,2018 chart Overall fuck Cardi got way go catch niki,1
@USER <b>bullshit</b>,Abusive_Swearing,bullshit, bullshit  ,bullshit,1
@USER I feel pretty <b>fucked</b> then cuz I started out fine,Abusive_Swearing,I feel pretty fucked cuz I started fine,I feel pretty  fucked  cuz I started fine ,I feel pretty fucked cuz I started fine,0
@USER @USER NOT A SNOWBALLS CHANCE IN <b>hell</b> DIMWIT DEM. Start taking losing like a man.....err...like a....uhm? Whatever you identify as today. WE WILL #MAGA NOT TIRED OF #WINNING SEE YOU IN NOVEMBER FOR THE #REDWAVERISING2018 YOU CAN'T STOP #Scotus,Abusive_Swearing,NOT A SNOWBALLS CHANCE IN hell DIMWIT DEM Start taking losing like man err like uhm Whatever identify today WE WILL MAGA NOT TIRED OF WINNING SEE YOU IN NOVEMBER FOR THE REDWAVERISING2018 YOU CA N'T STOP Scotus,NOT A SNOWBALLS CHANCE IN  hell  DIMWIT DEM . Start taking losing like man ..... err ... like .... uhm ? Whatever identify today . WE WILL # MAGA NOT TIRED OF # WINNING SEE YOU IN NOVEMBER FOR THE # REDWAVERISING2018 YOU CA N'T STOP # Scotus ,NOT A SNOWBALLS CHANCE IN hell DIMWIT DEM Start taking losing like man err like uhm Whatever identify today WE WILL MAGA NOT TIRED OF WINNING SEE YOU IN NOVEMBER FOR THE REDWAVERISING2018 YOU CA N'T STOP Scotus,0
@USER @USER My Stoned Wheat Crackers! Where the <b>hell</b> did they put the Stoned Wheat Crackers?,Abusive_Swearing,My Stoned Wheat Crackers Where hell put Stoned Wheat Crackers,My Stoned Wheat Crackers ! Where  hell  put Stoned Wheat Crackers ? ,My Stoned Wheat Crackers Where hell put Stoned Wheat Crackers,0
@USER CBS sez CEO Leslie Moonves' out on his <b>ass</b> after several allegations he was chasing ass COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This shit never ends... Ooops...,Abusive_Swearing,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,CBS sez CEO Leslie Moonves '  ass  several allegations chasing ass COO Joseph Iannello interim CEO somebody accuses thing ... This shit never ends ... Ooops ... ,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,1
@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing <b>ass</b> COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This shit never ends... Ooops...,Abusive_Swearing,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,CBS sez CEO Leslie Moonves ' ass several allegations chasing  ass  COO Joseph Iannello interim CEO somebody accuses thing ... This shit never ends ... Ooops ... ,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,0
@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This <b>shit</b> never ends... Ooops...,Abusive_Swearing,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,CBS sez CEO Leslie Moonves ' ass several allegations chasing ass COO Joseph Iannello interim CEO somebody accuses thing ... This  shit  never ends ... Ooops ... ,CBS sez CEO Leslie Moonves as several allegation chasing as COO Joseph Iannello interim CEO somebody accuses thing This shit never end Ooops,0
@USER I didn’t tweet this lol I needa get my Twitter off this <b>shit</b>,Abusive_Swearing,I ’ tweet lol I needa get Twitter shit,I ’ tweet lol I needa get Twitter  shit  ,I ’ tweet lol I needa get Twitter shit,0
@USER Then HAUL YOUR FAT <b>ass</b> IN HARMS WAY YOU DRUGGIE!!!,Abusive_Swearing,Then HAUL YOUR FAT as IN HARMS WAY YOU DRUGGIE,Then HAUL YOUR FAT  ass  IN HARMS WAY YOU DRUGGIE ! ! ! ,Then HAUL YOUR FAT as IN HARMS WAY YOU DRUGGIE,1
"@USER its so cool that the blind idiot god"" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a <b>fucking</b> cthulhu reference for retard cred""",Abusive_Swearing,cool blind idiot god concept already real thing religion thousand year old peopl ehave make fucking cthulhu reference retard cred,cool blind idiot god '' concept already real thing religion thousands years old peopl ehave make  fucking  cthulhu reference retard cred '' ,cool blind idiot god concept already real thing religion thousand year old peopl ehave make fucking cthulhu reference retard cred,0
@USER Rezz is a dumb <b>bitch</b> who will get a rude awakening from BNF in Mexico lol URL,Abusive_Swearing,Rezz dumb bitch get rude awakening BNF Mexico lol URL,Rezz dumb  bitch  get rude awakening BNF Mexico lol URL ,Rezz dumb bitch get rude awakening BNF Mexico lol URL,1
@USER Another <b>dumbass</b> Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual,Abusive_Swearing,Another dumbass Democrat One thing say president ’ lazy Another bullshit story usual,Another  dumbass  Democrat . One thing say president ’ lazy . Another bullshit story usual ,Another dumbass Democrat One thing say president ’ lazy Another bullshit story usual,1
@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another <b>bullshit</b> story as usual,Abusive_Swearing,Another dumbass Democrat One thing say president ’ lazy Another bullshit story usual,Another dumbass Democrat . One thing say president ’ lazy . Another  bullshit  story usual ,Another dumbass Democrat One thing say president ’ lazy Another bullshit story usual,1
@USER So it moves forward. <b>damn</b> the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals,Abusive_Swearing,So move forward damn fact long keep narrative The Dangerous line sliding scale line bunch liberal idiot use vilify Conservatives justify action liberal,So moves forward .  damn  facts long keep narrative ! The Dangerous line sliding scale line bunch liberal idiots use vilify Conservatives justify actions liberals ,So move forward damn fact long keep narrative The Dangerous line sliding scale line bunch liberal idiot use vilify Conservatives justify action liberal,0
@USER @USER (She is clearly agitated in a defensive stance) <b>shit</b> what is she doing here,Abusive_Swearing,She clearly agitated defensive stance shit,( She clearly agitated defensive stance )  shit  ,She clearly agitated defensive stance shit,1
@USER @USER She is better than all this <b>shit</b> She is better than anything. ❤️,Abusive_Swearing,She better shit She better anything ❤️,She better  shit  She better anything . ❤️ ,She better shit She better anything ,0
@USER <b>damn</b> what i would do to be able to eat that pussy,Abusive_Swearing,damn would able eat pussy, damn  would able eat pussy ,damn would able eat pussy,0
@USER damn what i would do to be able to eat that <b>pussy</b>,Abusive_Swearing,damn would able eat pussy,damn would able eat  pussy  ,damn would able eat pussy,1
@USER @USER Queen Of Rap 😛 Other <b>bitches</b> can knot relate,Abusive_Swearing,Queen Of Rap 😛 Other bitch knot relate,Queen Of Rap 😛 Other  bitches  knot relate ,Queen Of Rap  Other bitch knot relate,1
@USER I would be worse than her licking that <b>ass</b>,Abusive_Swearing,I would worse licking as,I would worse licking  ass  ,I would worse licking as,1
@USER <b>bitch</b>,Abusive_Swearing,bitch, bitch  ,bitch,1
@USER If Jamie Oliver <b>fucks</b> with my £3 meal deals at Tesco I’ll kill the cunt,Abusive_Swearing,If Jamie Oliver fuck £3 meal deal Tesco I ’ kill cunt,If Jamie Oliver  fucks  £3 meal deals Tesco I ’ kill cunt ,If Jamie Oliver fuck £3 meal deal Tesco I ’ kill cunt,1
@USER If Jamie Oliver fucks with my £3 meal deals at Tesco I’ll kill the <b>cunt</b>,Abusive_Swearing,If Jamie Oliver fuck £3 meal deal Tesco I ’ kill cunt,If Jamie Oliver fucks £3 meal deals Tesco I ’ kill  cunt  ,If Jamie Oliver fuck £3 meal deal Tesco I ’ kill cunt,1
@USER Let me borrow yo <b>shit</b> first 🤣,Abusive_Swearing,Let borrow yo shit first 🤣,Let borrow yo  shit  first 🤣 ,Let borrow yo shit first 🤣,0
@USER WOW! That lie'n <b>bitch</b> is at it again. URL,Abusive_Swearing,WOW That lie'n bitch URL,WOW ! That lie'n  bitch  . URL ,WOW That lie'n bitch URL,1
@USER Stfu <b>bitch</b> lol why u Salty I’m tryna get twitter famous ya know,Abusive_Swearing,Stfu bitch lol u Salty I ’ tryna get twitter famous ya know,Stfu  bitch  lol u Salty I ’ tryna get twitter famous ya know ,Stfu bitch lol u Salty I ’ tryna get twitter famous ya know,1
@USER <b>fuck</b> OFF,Abusive_Swearing,fuck OFF, fuck  OFF ,fuck OFF,1
@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the <b>hell</b> is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her fa,Abusive_Swearing,Sam singing DiDNT tell stop singing thanked Unbelievable Who hell talking It 's bad enough talking one houseguest But keep talking Wonder fa,Sam singing DiDNT tell stop singing thanked ! ! Unbelievable ! ! ! Who  hell  talking ? ! It 's bad enough talking one houseguest ! ! But keep talking ! Wonder fa ,Sam singing DiDNT tell stop singing thanked Unbelievable Who hell talking It 's bad enough talking one houseguest But keep talking Wonder fa,1
@USER I think he could be called a turncoat talking out of both sides of his <b>fucking</b> mouth Lindsey Graham can no longer be trusted URL,Abusive_Swearing,I think could called turncoat talking side fucking mouth Lindsey Graham longer trusted URL,I think could called turncoat talking sides  fucking  mouth Lindsey Graham longer trusted URL ,I think could called turncoat talking side fucking mouth Lindsey Graham longer trusted URL,1
@USER Fuckkk 😂😂 I know I seen <b>bitch</b> that’s a slapper lmao,Abusive_Swearing,Fuckkk 😂😂 I know I seen bitch ’ slapper lmao,Fuckkk 😂😂 I know I seen  bitch  ’ slapper lmao ,Fuckkk  I know I seen bitch ’ slapper lmao,1
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Little known fact Balaam raced donkeys and gambled on races. One day his fastest <b>ass</b> was winning the Jerusalem sweepstakes. And right before the f,Abusive_Swearing,Little known fact Balaam raced donkey gambled race One day fastest as winning Jerusalem sweepstakes And right f,Little known fact Balaam raced donkeys gambled races . One day fastest  ass  winning Jerusalem sweepstakes . And right f ,Little known fact Balaam raced donkey gambled race One day fastest as winning Jerusalem sweepstakes And right f,0
@USER @USER <b>bitch</b> shut up he building his self esteem,Abusive_Swearing,bitch shut building self esteem, bitch  shut building self esteem ,bitch shut building self esteem,1
@USER @USER Isn’t that the Amazon <b>bitch</b> from Antifa?,Abusive_Swearing,Isn ’ Amazon bitch Antifa,Isn ’ Amazon  bitch  Antifa ? ,Isn ’ Amazon bitch Antifa,1
@USER @USER @USER @USER @USER @USER @USER Lie about what? Certainly not about you throwing gun control &amp; accountability out the window once an illegal is involved. And “a” hollering? Are you seeing <b>shit</b> AND hearing voices?,Abusive_Swearing,Lie Certainly throwing gun control amp accountability window illegal involved And “ ” hollering Are seeing shit AND hearing voice,Lie ? Certainly throwing gun control & amp ; accountability window illegal involved . And “ ” hollering ? Are seeing  shit  AND hearing voices ? ,Lie Certainly throwing gun control amp accountability window illegal involved And “ ” hollering Are seeing shit AND hearing voice,0
@USER Gonna be a <b>bitch</b> to re-write this one.,Abusive_Swearing,Gon na bitch re-write one,Gon na  bitch  re-write one . ,Gon na bitch re-write one,1
@USER ANCIENT HOMIES COULDNT HAVE <b>cock</b> cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,Abusive_Swearing,ANCIENT HOMIES COULDNT HAVE cock cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,ANCIENT HOMIES COULDNT HAVE  cock  cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS ,ANCIENT HOMIES COULDNT HAVE cock cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,0
@USER ANCIENT HOMIES COULDNT HAVE cock <b>cock</b> FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,Abusive_Swearing,ANCIENT HOMIES COULDNT HAVE cock cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,ANCIENT HOMIES COULDNT HAVE cock  cock  FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS ,ANCIENT HOMIES COULDNT HAVE cock cock FIGHTING BECAUSE THAT WAS LITERALLY ILLEGAL IN ATHENS FJSHDHJS,0
@USER She is <b>fucking</b> delusional,Abusive_Swearing,She fucking delusional,She  fucking  delusional ,She fucking delusional,1
@USER You are an absolute <b>dick</b> 😡,Abusive_Swearing,You absolute dick 😡,You absolute  dick  😡 ,You absolute dick ,1
@USER @USER Liberals act out of emotion. Not understanding the law. Then they go around condemning every1 who does not agree with their completely <b>fucked</b> rational. “Nobody believed women for 250 years. So let’s believe all women! Oh and screw the l,Abusive_Swearing,Liberals act emotion Not understanding law Then go around condemning every1 agree completely fucked rational “ Nobody believed woman 250 year So let ’ believe woman Oh screw l,Liberals act emotion . Not understanding law . Then go around condemning every1 agree completely  fucked  rational . “ Nobody believed women 250 years . So let ’ believe women ! Oh screw l ,Liberals act emotion Not understanding law Then go around condemning every1 agree completely fucked rational “ Nobody believed woman 250 year So let ’ believe woman Oh screw l,1
@USER Lol they have no idea Nazis were socialist. Their complete inability to grasp reality is so mind blowing. Antifa is no <b>shit</b> calling for a civil war to defend slavery. The confederacy considered Lincoln a fascist too... hmmmm.,Abusive_Swearing,Lol idea Nazis socialist Their complete inability grasp reality mind blowing Antifa shit calling civil war defend slavery The confederacy considered Lincoln fascist hmmmm,Lol idea Nazis socialist . Their complete inability grasp reality mind blowing . Antifa  shit  calling civil war defend slavery . The confederacy considered Lincoln fascist ... hmmmm . ,Lol idea Nazis socialist Their complete inability grasp reality mind blowing Antifa shit calling civil war defend slavery The confederacy considered Lincoln fascist hmmmm,0
@USER @USER what is this <b>shit</b> right over here? I also showed to my polish friends and they are quite triggered,Abusive_Swearing,shit right I also showed polish friend quite triggered, shit  right ? I also showed polish friends quite triggered ,shit right I also showed polish friend quite triggered,1
@USER @USER @USER Oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades ...you can have all that <b>shit</b> and let Hollywood decide how you feel.,Abusive_Swearing,Oh higher unemployment witch hunt lynch mob antifa communist parade shit let Hollywood decide feel,Oh higher unemployment witch hunts lynch mobs antifa communist parades ...  shit  let Hollywood decide feel . ,Oh higher unemployment witch hunt lynch mob antifa communist parade shit let Hollywood decide feel,0
@USER 😅😅😅😅😅😅😅😅😅 gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government! <b>fuck</b>,Abusive_Swearing,😅😅😅😅😅😅😅😅😅 gun control fun statue stupid child desk going change people case stupid give firearm free speech right one government fuck,😅😅😅😅😅😅😅😅😅 gun control fun statue stupid child desk going change peoples case stupid give firearms free speech rights one government !  fuck  , gun control fun statue stupid child desk going change people case stupid give firearm free speech right one government fuck,0
@USER <b>fuck</b> u,Abusive_Swearing,fuck u, fuck  u ,fuck u,1
@USER Niggaz buying <b>pussy</b> bitches trying to buy love...,Abusive_Swearing,Niggaz buying pussy bitch trying buy love,Niggaz buying  pussy  bitches trying buy love ... ,Niggaz buying pussy bitch trying buy love,1
@USER Niggaz buying pussy <b>bitches</b> trying to buy love...,Abusive_Swearing,Niggaz buying pussy bitch trying buy love,Niggaz buying pussy  bitches  trying buy love ... ,Niggaz buying pussy bitch trying buy love,1
@USER Does not suffer fools and has seen enough <b>shit</b> to last nine lives.,Abusive_Swearing,Does suffer fool seen enough shit last nine life,Does suffer fools seen enough  shit  last nine lives . ,Does suffer fool seen enough shit last nine life,0
@USER Believe the woman. What person would volunteer for the <b>shit</b> show she is about to experience if it weren’t true. I stand in solidarity with Christine Blasey Ford.,Abusive_Swearing,Believe woman What person would volunteer shit show experience ’ true I stand solidarity Christine Blasey Ford,Believe woman . What person would volunteer  shit  show experience ’ true . I stand solidarity Christine Blasey Ford . ,Believe woman What person would volunteer shit show experience ’ true I stand solidarity Christine Blasey Ford,1
@USER Hmmm...they <b>piss</b> off the portion of the population that actually supported football and are shocked their numbers took a nose dive? Shocking!,Abusive_Swearing,Hmmm piss portion population actually supported football shocked number took nose dive Shocking,Hmmm ...  piss  portion population actually supported football shocked numbers took nose dive ? Shocking ! ,Hmmm piss portion population actually supported football shocked number took nose dive Shocking,1
@USER I <b>fucking</b> love this!!!! so so true. and actually it’s in those types of jobs you will learn the most,Abusive_Swearing,I fucking love true actually ’ type job learn,I  fucking  love ! ! ! ! true . actually ’ types jobs learn ,I fucking love true actually ’ type job learn,0
