HITId,tweet,sentiment,directness,annotator_sentiment,target,group
116,@user لا حلوين الحريم استاذ علي,normal,indirect,indifference,gender,women
117,@user لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,normal,direct,shock,other,other
118,والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير,disrespectful,indirect,shock,religion,other
119,خنازير البغدادي يتبنون العمليه مساء أمس..,normal,direct,indifference,other,other
120,عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,disrespectful,indirect,indifference,other,other
121,@user ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,normal,indirect,shock,gender,women
122,@user @user @user خنزير اكتروني @url,offensive,direct,shock,other,other
123,فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,offensive_disrespectful,indirect,shock,other,other
124,@user @user @user تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,disrespectful,direct,indifference,other,individual
125,@user @user خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,hateful,direct,anger_disgust,origin,other
126,@user ي بول البعير شنو يعني عبد !!!,offensive,indirect,indifference,origin,individual
127,@user @user تخلف يا شاربي بول البعير,abusive_hateful,direct,sadness,origin,individual
128,حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,normal,indirect,indifference_disgust,other,other
129,سؤال #منا_وجر اذا كانت الضحية بتتحمل مسؤولية التحرشالاغتصاب,offensive,indirect,indifference_disgust,other,women
130,متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,abusive_normal,direct,indifference,other,individual
131,ياجماعه موضوع استعمال مزيلات العرق دا ، موضوع هادف و مثمر اكتر من التحرش ، والله محتاجين نتكلم فيو اكتر من اي حاجه… @url,normal,indirect,indifference,other,other
132,بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,offensive,direct,indifference,other,individual
133,@user @user بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش… @url,hateful,direct,indifference,origin,individual
134,متحنش لحد باعك يا وسخ,offensive,direct,indifference,other,individual
135,كرم عويس أقامت مأدبة عشاء لزملائها في قناة الخنزيرة اعتقدوا كون والدها يعمل بالجيش الإسرائيلي تعود على أكل اليهود ف… @url,abusive_offensive,direct,indifference,other,individual
136,قدم نادي القانون بالتعاون مع مركز الدراسات الجنائية محاضرة بعنوان #التوعية_بنظام_مكافحة_التحرش ، ألقتها د.سحر الهبد… @url,normal,direct,indifference_disgust,other,women
137,#في_بلادك_تقدري تكملي قرايتك وتخدمي وما يعايروكش على انك ما تزوجتيش وما يقولولكش بايرة ولا عانس ولا مسكينة لازم رجل… @url,normal,indirect,indifference,gender,women
138,@user @user ايضا الشريف المرتضى في كتابة (الإنتصار) أباح شرب بول البعير بقوله [شرب بول ما يؤكل لحمه]… @url,normal,direct,indifference,other,individual
139,هو بول البعير والكبسة يوصل لكدة,disrespectful,indirect,indifference,other,other
140,يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,offensive,indirect,indifference,gender,women
141,أيد قادة الاتحاد الأوروبي الأسبوع الماضي بداية مفاوضات رسمية مع النظام المصري حول أزمة اللاجئين. هدف المفاوضات هو ا… @url,normal,direct,indifference,other,refugees
142,@user @user @user مجموعه خونه مطرودين من اوطانهم ولقو خنزير ابن خنزير ذميم يضفهم الشرهه على الرأس الكبير… @url,hateful,direct,indifference,origin,other
143,تكشف المرأة سبب التحرش!…,abusive_offensive_hateful_disrespectful_normal,indirect,indifference,gender,women
144,يبدو أنّك تحت تأثير بول البعير ، وقد تعفّن رأسك، حتّى صرتَ لا تفقه شيئاً في هذه الدّنيا، ولا تدري مالّذي يدور حوالي… @url,offensive,indirect,indifference,origin,other
145,ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟ @url,abusive_normal,direct,shock,other,women
146,لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,hateful,direct,shock,other,other
147,ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,hateful,direct,anger_disgust,other,other
148,في 2012 خلال مباراة الفريقين قامت جماهير ريفر بليت بإطلاق خنزير طائر يرتدي قميص البوكا فوق جماهير بوكا جونيورز @url,normal,indirect,indifference_disgust,other,other
149,@user ياخى اوسخ شعوب الدنيا السودانيين,hateful,direct,anger_shock,other,other
150,طب امنعو التحرش الاول  #ضد_منع_النقاب,normal,indirect,indifference,gender,women
151,رايحة بايرة بعمق ونلصق ع فيتامين دال,offensive,indirect,shock,other,individual
152,تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url,normal,direct,sadness_indifference,origin,refugees
153,@user @user قال الشيعه الصفوين الروافض الاباضيه الاباضيه الاباضيه أنت ينجس يطقعه تتوضا بول البعي… @url,hateful,indirect,disgust,religion,other
154,@user @user اليمن مرمطة بسعودية وهي بدون سلاح مابالك بايران وهيا دوله مصنعه باتخلي الخونة أمثل… @url,offensive,direct,sadness,origin,other
155,@user @user والله اني في صنعاء وجنب المطر يا خنازير,disrespectful,direct,indifference,other,other
156,@user @user انت رجاع خود جرعة من بول البعير ولا تدخل بيناتنا يا زق,offensive,direct,shock,origin,individual
157,إن هؤلاء الإمعات الذين يخرجون على شاشات التلفزة باسم معارضين و ثوار و هم لم يذوقوا من مرارة العيش في سوريا و حصار ا… @url,normal,direct,anger_indifference,other,other
158,أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير @url,offensive,direct,indifference,origin,arabs
159,بلاغ ضد هؤلاء الوافدين من الجالية #الروهينجا البنغال المتواجدين في مكة المكرمة و يتواصلون مع خنزير لندن سعد الفقيه.… @url,hateful,direct,indifference,origin,asians
160,عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,hateful,indirect,shock,origin,other
161,من هو العربي الحُر الاصيل اللذي يرضى بأن يحمكه في أرضه مجوسي فارسي خنزير !؟,normal,indirect,shock,origin,arabs
162,@user @user اذا كان الخنزير  نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين، فلا يزال الخنزير خ… @url,hateful,direct,disgust,other,arabs
163,من أعظم ماقيل عن قضيه التحرش من باسم يوسف @url,normal,indirect,sadness_indifference,gender,women
164,ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,hateful,direct,shock,origin,other
165,@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,hateful,direct,anger_disgust,origin,other
166,@user @user دراعه كان مصاب ياشارب بول البعير,disrespectful,direct,indifference,other,individual
167,سوبر ايه ي عم..... كاس افريقيا اهم,normal,indirect,indifference,other,other
168,@user @user @user @user أني عراقي تاج على راسك يابدوي يا شارب بول البعير.,offensive,direct,anger_disgust,origin,individual
169,@user @user @user اشرب بول البعير وتعال,abusive_disrespectful,direct,indifference,other,individual
170,ترى حتى الحريم عندهم شنبات بس شايلات ليزر,normal,indirect,indifference,other,women
171,في خنزيره تزوجت خنزير وجابو عيال خنازير,abusive_disrespectful,indirect,indifference,other,other
172,كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,abusive_offensive_hateful_disrespectful_normal,indirect,anger_disgust,religion,indian/hindu
173,@user @user فئة خنازير,hateful,direct,indifference,other,other
174,@user @user حاشا ..انتم مملكة بول البعير,offensive,direct,indifference,origin,other
175,هنعلم الناس تحترم المرأة المتعلمة الغير متزوجة ومتهينهاش بألفاظ زي بايرة بإننا نهين المرأة اللي بتربي العيال ونطلعه… @url,abusive_normal,direct,indifference,other,women
176,@user @user هدي اعصابك واشرب من بول البعير العراقي,disrespectful,direct,disgust,origin,individual
177,ساقو الحريم وللحين ماسقت,offensive,indirect,confusion_disgust,other,women
178,لما تيجي تتخانق مع خنزير متتخانقش معاه علي الخره، عشان كدا انت هاتتوسخ و هو هايتبسط.,hateful,direct,shock,origin,individual
179,شنو في الحريم صارت خدودهم چنهم مجمعين قات وبراطمهم بعد ونظرة العيون على كتر ... بس بقولوكم چنكم البطة تويتي منظركم… @url,normal,direct,indifference_disgust,gender,women
180,@user @user @user لعنكم الله يا قردة ويا خنازير . عفحرة اعملوا فحص ل dna  بتعرفوا شو اصولكم يا قرود,offensive,indirect,anger_disgust,other,other
181,@user @user مشاكل الجاليات  البورماوية و السوريين و اليمنة و الأفارقة  في بلدنا تتفاقم ولم نسمع بحل جذري  لهم,normal,indirect,sadness,other,immigrants
182,@user @user واحد يقول ليش سامي يكلم وحدة متبرجة ويضحك بعد ...,disrespectful_normal,indirect,indifference,gender,individual
183,وبخصوص كلمتك دول خنازير مايمشو الا با… @url,abusive_disrespectful,indirect,anger_disgust,other,other
184,قاعدين ناخذ قصيده عن قد ايش الحريم تافهات عشان واحد كتب قصيده بقصه صارت زمان صدق ان في واحد كان يكره حرمه وجلس يخطط… @url,abusive_disrespectful,direct,indifference,gender,women
185,يستحسن ان يطلق عليه ابو  الدعاره  والعاهرات  خنزير تركيا   هذا اللقب يناسبه جدا @url,offensive,direct,indifference,origin,other
186,انتشرت ظاهرةالتحرش بالفتيات لتصبح هاجساًيرعب الآباءعلى بناتهن وخوفاًيصيب الفتيات نتيجةمايتعرضن له من إيذاء جسدي ونف… @url,normal,indirect,indifference,gender,women
187,: [@user @user تسمي التعاون مع الي قتلو نص مليون شهيد سوري قوه يا صرصور مو اسمها قوه اسمها خيانه ووساخه يا وسخ,abusive_hateful,direct,indifference_disgust,other,individual
188,نحنُ اللاجئون الوحيدون في أرضٍ خلقها الله حُرة فاستعبدوها بالقيود نحنُ الحبُ الحقيقي في أرضٍ تُحب الأجساد قبل القلوب..,normal,indirect,sadness_indifference,origin,refugees
189,مشكله غيرة الشباب من بعض اخيس من الحريم تف عليك اذا انت من هالنوع,abusive_disrespectful,indirect,confusion_sadness_shock_indifference_disgust,other,other
190,@user @user ادعسو جماجم خنازير الفرس ادعسوا من غدر بالحسين واليوم يلطمون عليه مثل البهائم,normal,indirect,indifference,origin,other
191,من الجزائر بلد المجاهدين اكبر خنزير عرفته السعودية هو مح....بن سلمان اللذي يدفع لزوجه وسيده ترانب المليارات والمسلم… @url,offensive,direct,anger_disgust,other,individual
192,@user @user تركي راحل نجس يكيد مثل الحريم التي ليس لا رجل او لجام من العفه و الحياء و الوقار يربطها,offensive,direct,disgust,origin,individual
193,يوجد بتويتر خنازير,hateful,indirect,indifference,other,other
194,@user @user لو انها بنت سعوديه يالكلب الخسيس كنت تنابح ضدها متبرجه وكاشفه هههه اما ذي لا كويسه ابوك ياخروف,offensive,direct,anger_disgust,origin,women
195,@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,normal,direct,shock_disgust,gender,women
196,صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,offensive,indirect,indifference_disgust,gender,women
197,@user @user دول خنازير مش خرفان,disrespectful,indirect,indifference,other,other
198,مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء @url @url,normal,indirect,indifference,other,refugees
199,تنرفزوا خنازير ليفربول قاموا يضربون فيه !!!,disrespectful,direct,indifference,other,other
200,ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى… @url,offensive,indirect,indifference,other,women
201,@user @user خبير الكبتاغون امير من عندكن يا تبع بول البعير,offensive_disrespectful,indirect,anger_indifference,other,individual
202,@user @user نادي القرن لا يحتاج لشاربي بول البعير حتى تكون له شعبية والسعودية أصبحت لا تشرف أي مسلم عربي ب… @url,offensive,direct,indifference,origin,other
203,جدال بين فتاتين من الجمهور المشارك حول التحرش!,normal,indirect,indifference,gender,women
204,كل ما ابقى فالمواصلات او فالشارع او حتى فالشغل الحريم والبنات لابسين حتة طرحه ربع…,normal,indirect,sadness,gender,women
205,وانت بيض الله وجهك والله يستر عليك من خنازير ايران في الكويت . @url,abusive_hateful,direct,indifference,origin,other
206,فرق يوم يكون عندك لاعب يعادل فريق مثل هازارد ثم تروح لفريق اشبه بحظيرة خنازير يا كورتوا,offensive,indirect,shock,other,other
