,corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
20,zampieri2019: Offensive Posts in Social Media,     LOL Throwing the BULLSHIT Flag on such nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready ,2,LOL Throwing BULLSHIT Flag nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready,LOL Throwing BULLSHIT Flag nonsense PutUpOrShutUp Kavanaugh MAGA CallTheVoteAlready
21,zampieri2019: Offensive Posts in Social Media,   You are correct ,0,You correct,You correct
22,zampieri2019: Offensive Posts in Social Media,   Kind of like when conservatives wanna associate everyone to their left as communist antifa members ,2,Kind like conservative wanna associate everyone left communist antifa member,Kind like conservative wanna associate everyone left communist antifa member
23,zampieri2019: Offensive Posts in Social Media,   Da fuck is going on people There s the men s room and the women s room Pick one and stick w it ,2,Da fuck going people There men room woman room Pick one stick w,Da fuck going people There men room woman room Pick one stick w
24,zampieri2019: Offensive Posts in Social Media,  Been a Willie fan since before most of you were born LOVE that he is holding a rally with Beto Exactly WHICH fans are furious Could you give some specifics ,0,Been Willie fan since born LOVE holding rally Beto Exactly WHICH fan furious Could give specific,Been Willie fan since born LOVE holding rally Beto Exactly WHICH fan furious Could give specific
25,zampieri2019: Offensive Posts in Social Media,  Tbh these days i just don t like people in general i just don t connect with people these days just a annoyance ,2,Tbh day like people general connect people day annoyance,Tbh day like people general connect people day annoyance
26,zampieri2019: Offensive Posts in Social Media,South Korean Official Leaders will discuss specific denuke measures in Pyongyang TCOT MAGA RedNationRising ,0,South Korean Official Leaders discus specific denuke measure Pyongyang TCOT MAGA RedNationRising,South Korean Official Leaders discus specific denuke measure Pyongyang TCOT MAGA RedNationRising
27,zampieri2019: Offensive Posts in Social Media,   You can tell he is a hooper too,0,You tell hooper,You tell hooper
28,zampieri2019: Offensive Posts in Social Media,  I feel like he is better chasing the title,0,I feel like better chasing title,I feel like better chasing title
29,zampieri2019: Offensive Posts in Social Media,    She To whom are you referring to Hillary You know what is tiresome Bernie supporters bashing Hillary Clinton She is an actual Democrat who raises money for the Democratic Party and doesn t bash them She has a positive message So who is dividing the left ,2,She To referring Hillary You know tiresome Bernie supporter bashing Hillary Clinton She actual Democrat raise money Democratic Party bash She positive message So dividing left,She To referring Hillary You know tiresome Bernie supporter bashing Hillary Clinton She actual Democrat raise money Democratic Party bash She positive message So dividing left
30,zampieri2019: Offensive Posts in Social Media,  Glad to see your friends are supporting Metis rights as much as you are supporting Zionists ,0,Glad see friend supporting Metis right much supporting Zionists,Glad see friend supporting Metis right much supporting Zionists
31,zampieri2019: Offensive Posts in Social Media,  Yes you are but I was asking what is it about the movie ,0,Yes I asking movie,Yes I asking movie
32,zampieri2019: Offensive Posts in Social Media,The only thing the Democrats have is lying and stalling to stop Trump from being President What have they done for you lately Trump Kavanaugh MAGA DEMSUCK,2,The thing Democrats lying stalling stop Trump President What done lately Trump Kavanaugh MAGA DEMSUCK,The thing Democrats lying stalling stop Trump President What done lately Trump Kavanaugh MAGA DEMSUCK
33,zampieri2019: Offensive Posts in Social Media,  No wonder he is being apologetic and more social these day ,0,No wonder apologetic social day,No wonder apologetic social day
34,zampieri2019: Offensive Posts in Social Media,    Any updates re ending your blatant racism as Windrush Grenfell proves you are   alloutpolitics politicslive PMQs  ,0,Any update ending blatant racism Windrush Grenfell prof alloutpolitics politicslive PMQs,Any update ending blatant racism Windrush Grenfell prof alloutpolitics politicslive PMQs
35,zampieri2019: Offensive Posts in Social Media,            Do you know what s going to happen now I m going to have to lay in bed and cry while I listen to Kelly Clarkson Thanks free speech antifa ,0,Do know going happen I going lay bed cry I listen Kelly Clarkson Thanks free speech antifa,Do know going happen I going lay bed cry I listen Kelly Clarkson Thanks free speech antifa
36,zampieri2019: Offensive Posts in Social Media,                                                   You are not very smart are you Why do you think Gen Flynn s sentencing keeps being rescheduled ,2,You smart Why think Gen Flynn sentencing keep rescheduled,You smart Why think Gen Flynn sentencing keep rescheduled
37,zampieri2019: Offensive Posts in Social Media,    That s expected if you placate the violent leftists terrorists KavanaughConfirmation woke,2,That expected placate violent leftist terrorist KavanaughConfirmation woke,That expected placate violent leftist terrorist KavanaughConfirmation woke
38,zampieri2019: Offensive Posts in Social Media,  Blow hard,0,Blow hard,Blow hard
39,zampieri2019: Offensive Posts in Social Media,    That means you are a max lvl Twitter user and maybe should try a new game,0,That mean max lvl Twitter user maybe try new game,That mean max lvl Twitter user maybe try new game
40,zampieri2019: Offensive Posts in Social Media,   Please explain what controlled opposition means As for Bernier escaping he split with the rest of the Conservatives because he s even more racist and exclusionary than they want to be ,0,Please explain controlled opposition mean As Bernier escaping split rest Conservatives even racist exclusionary want,Please explain controlled opposition mean As Bernier escaping split rest Conservatives even racist exclusionary want
41,zampieri2019: Offensive Posts in Social Media,      Socialists politics that stand up for the downtrodden And well done for conflating criticism of Israel with anti semitism You are also part of the problem ,0,Socialists politics stand downtrodden And well done conflating criticism Israel anti semitism You also part problem,Socialists politics stand downtrodden And well done conflating criticism Israel anti semitism You also part problem
42,zampieri2019: Offensive Posts in Social Media, Nina One of the reasons I didn t read this book for so long was because I was SO WORRIED about her character I should ve trusted everyone Nina is a goddamn goddess I would die for a thousand times over She is big and bold and lovely and PERFECT HER ARC IS PERFECT ,0,Nina One reason I read book long I SO WORRIED character I trusted everyone Nina goddamn goddess I would die thousand time She big bold lovely PERFECT HER ARC IS PERFECT,Nina One reason I read book long I SO WORRIED character I trusted everyone Nina goddamn goddess I would die thousand time She big bold lovely PERFECT HER ARC IS PERFECT
43,zampieri2019: Offensive Posts in Social Media,      PLEASE vote NO on Kavanaugh He is not fit for SCOTUS and allegations about women and shady financials should disqualify him RuleOfLaw matters MeToo CountryOverParty WithdrawKavanaugh StopKavanaugh,0,PLEASE vote NO Kavanaugh He fit SCOTUS allegation woman shady financials disqualify RuleOfLaw matter MeToo CountryOverParty WithdrawKavanaugh StopKavanaugh,PLEASE vote NO Kavanaugh He fit SCOTUS allegation woman shady financials disqualify RuleOfLaw matter MeToo CountryOverParty WithdrawKavanaugh StopKavanaugh
44,zampieri2019: Offensive Posts in Social Media,   Ppl who say I m not racist are racist You Are A Racist Repeat after me ,0,Ppl say I racist racist You Are A Racist Repeat,Ppl say I racist racist You Are A Racist Repeat
45,zampieri2019: Offensive Posts in Social Media,  Kathy the Patriot YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP A SPINE OF U S STEEL CHANGING IT ON TRADE EVERYTHING FOR AMERICANS AMERICAFIRST USA MAGA LEADERSHIP RESPECT ECONOMY JOBS PEACEthruSTRENGTH GOD BLESS TRUMP THEUSA ,0,Kathy Patriot YOU HAVE TO LOVE GREAT PRESIDENT TRUMP A SPINE OF U S STEEL CHANGING IT ON TRADE EVERYTHING FOR AMERICANS AMERICAFIRST USA MAGA LEADERSHIP RESPECT ECONOMY JOBS PEACEthruSTRENGTH GOD BLESS TRUMP THEUSA,Kathy Patriot YOU HAVE TO LOVE GREAT PRESIDENT TRUMP A SPINE OF U S STEEL CHANGING IT ON TRADE EVERYTHING FOR AMERICANS AMERICAFIRST USA MAGA LEADERSHIP RESPECT ECONOMY JOBS PEACEthruSTRENGTH GOD BLESS TRUMP THEUSA
46,zampieri2019: Offensive Posts in Social Media,  Wow you liberals really don t have a sense of humor ,0,Wow liberal really sense humor,Wow liberal really sense humor
47,zampieri2019: Offensive Posts in Social Media,  I M SO FUCKING READY,0,I M SO FUCKING READY,I M SO FUCKING READY
48,zampieri2019: Offensive Posts in Social Media,  Holy moly If the catholic people haven t been awakened by this FalseProphet Lunatic,0,Holy moly If catholic people awakened FalseProphet Lunatic,Holy moly If catholic people awakened FalseProphet Lunatic
49,zampieri2019: Offensive Posts in Social Media,  Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,0,Lol yeah per dina There everyday per claudia horse got vet care unless donation example limping etc,Lol yeah per dina There everyday per claudia horse got vet care unless donation example limping etc
50,zampieri2019: Offensive Posts in Social Media,    What a surprise same as antifa BLM and so on and so on Soros is Americas worst enemy in HISTORY He believes the only way to take down the USA is from withing And hes right But it s not gunna happen ,0,What surprise antifa BLM Soros Americas worst enemy HISTORY He belief way take USA withing And he right But gunna happen,What surprise antifa BLM Soros Americas worst enemy HISTORY He belief way take USA withing And he right But gunna happen
51,zampieri2019: Offensive Posts in Social Media,  Me too Her wedding was the best She is very pretty ,0,Me Her wedding best She pretty,Me Her wedding best She pretty
52,zampieri2019: Offensive Posts in Social Media,   No conflict here don t look at this Soros involved in violent left agenda of Antifa also ,0,No conflict look Soros involved violent left agenda Antifa also,No conflict look Soros involved violent left agenda Antifa also
53,zampieri2019: Offensive Posts in Social Media,    any of your announcements every come to fruition or is it basically stealing Labour s ideas to get a few more votes,0,announcement every come fruition basically stealing Labour idea get vote,announcement every come fruition basically stealing Labour idea get vote
54,zampieri2019: Offensive Posts in Social Media, out of British people are basically full on racists out of voters vote for the Conservatives Coincidence ,2,British people basically full racist voter vote Conservatives Coincidence,British people basically full racist voter vote Conservatives Coincidence
55,zampieri2019: Offensive Posts in Social Media, GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC A ,0,GUNCONTROL advocate must STOP falling assure electorate love HORRIFIC A,GUNCONTROL advocate must STOP falling assure electorate love HORRIFIC A
56,zampieri2019: Offensive Posts in Social Media,   Hi there We love what a huge fan of Camila Mendes you are Would it be alright if we used your tweet about her in our promotional material ,0,Hi We love huge fan Camila Mendes Would alright used tweet promotional material,Hi We love huge fan Camila Mendes Would alright used tweet promotional material
57,zampieri2019: Offensive Posts in Social Media,  Fuck off,2,Fuck,Fuck
58,zampieri2019: Offensive Posts in Social Media,  Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities I d like to know if the black population that suffers the most shares her opinion,0,Certainly weird view toward Margaret Sanger geonicidal philosophy aborting minority I like know black population suffers share opinion,Certainly weird view toward Margaret Sanger geonicidal philosophy aborting minority I like know black population suffers share opinion
59,zampieri2019: Offensive Posts in Social Media,   The prison system is so fucked Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane They did this in Louisiana and like inmates went missing ,2,The prison system fucked Why still getting away potentially murder intent prisoner die hurricane They Louisiana like inmate went missing,The prison system fucked Why still getting away potentially murder intent prisoner die hurricane They Louisiana like inmate went missing
60,zampieri2019: Offensive Posts in Social Media,   She is useless Attempts to do the right thing but never follows through ,2,She useless Attempts right thing never follows,She useless Attempts right thing never follows
61,zampieri2019: Offensive Posts in Social Media, WalkAway liberals Your party is POISON ,0,WalkAway liberal Your party POISON,WalkAway liberal Your party POISON
62,zampieri2019: Offensive Posts in Social Media,  Grateful Trump doesn t have a dog in the White House He is a cruel man ,2,Grateful Trump dog White House He cruel man,Grateful Trump dog White House He cruel man
63,zampieri2019: Offensive Posts in Social Media,  You are lying Stick with the facts We pay more than that now ,0,You lying Stick fact We pay,You lying Stick fact We pay
64,zampieri2019: Offensive Posts in Social Media,  Trump kicks dem butt its so fun ,2,Trump kick dem butt fun,Trump kick dem butt fun
65,zampieri2019: Offensive Posts in Social Media,    He is dumb and dumber all in one president It s a two for one ,2,He dumb dumber one president It two one,He dumb dumber one president It two one
66,zampieri2019: Offensive Posts in Social Media, Toxictory minister  attempted to expense charity donation It s what  do  Toriesmustgo DissolveTheUnion ,0,Toxictory minister attempted expense charity donation It Toriesmustgo DissolveTheUnion,Toxictory minister attempted expense charity donation It Toriesmustgo DissolveTheUnion
67,zampieri2019: Offensive Posts in Social Media,  ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for Manmarziyaan ,0,ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love Manmarziyaan,ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love Manmarziyaan
68,zampieri2019: Offensive Posts in Social Media,  And this from the clown that should be in prison ,2,And clown prison,And clown prison
69,zampieri2019: Offensive Posts in Social Media,     did Twitter silence alex jones in retaliation of him asking Twitter jack questions     ,0,Twitter silence alex jones retaliation asking Twitter jack question,Twitter silence alex jones retaliation asking Twitter jack question
70,zampieri2019: Offensive Posts in Social Media,  Thats because you are an old man ,2,Thats old man,Thats old man
71,zampieri2019: Offensive Posts in Social Media,    They are obstructionists Anti american Pharisees Ask them what they are running on and you get nothing Maga ,2,They obstructionist Anti american Pharisees Ask running get nothing Maga,They obstructionist Anti american Pharisees Ask running get nothing Maga
72,zampieri2019: Offensive Posts in Social Media,   No you re not you re here represent the Alinskyite Orwellian Leftist Tool Fool view on things like of the Marxists Antifa similar U psst And BU use the words fascist or fascism again go ahead read D Souza s book The Big Lie right now U know SQUAT about either ,0,No represent Alinskyite Orwellian Leftist Tool Fool view thing like Marxists Antifa similar U psst And BU use word fascist fascism go ahead read D Souza book The Big Lie right U know SQUAT either,No represent Alinskyite Orwellian Leftist Tool Fool view thing like Marxists Antifa similar U psst And BU use word fascist fascism go ahead read D Souza book The Big Lie right U know SQUAT either
73,zampieri2019: Offensive Posts in Social Media,  I do remember But somehow centrist antifa haters can never quite seem to bring themselves to condemn such things ,0,I remember But somehow centrist antifa hater never quite seem bring condemn thing,I remember But somehow centrist antifa hater never quite seem bring condemn thing
74,zampieri2019: Offensive Posts in Social Media,  I mean it worked for gun control right ,2,I mean worked gun control right,I mean worked gun control right
75,zampieri2019: Offensive Posts in Social Media,  I think the last thing on the WH or Trump s mind is April Ryan She needs to stop flattering herself She s not as important as she thinks she is ,0,I think last thing WH Trump mind April Ryan She need stop flattering She important think,I think last thing WH Trump mind April Ryan She need stop flattering She important think
76,zampieri2019: Offensive Posts in Social Media,  Principled conservatives are Hypocrickets,0,Principled conservative Hypocrickets,Principled conservative Hypocrickets
77,zampieri2019: Offensive Posts in Social Media,              Don t forget  Democrat backed Antifa,0,Don forget Democrat backed Antifa,Don forget Democrat backed Antifa
78,zampieri2019: Offensive Posts in Social Media,  She is a beautiful person to teach values to her kids Teaching them they are royalty but keep to keep it from going to their heads Stay real ,0,She beautiful person teach value kid Teaching royalty keep keep going head Stay real,She beautiful person teach value kid Teaching royalty keep keep going head Stay real
79,zampieri2019: Offensive Posts in Social Media,  Bring out his Antifa criminal son to campaign for him,0,Bring Antifa criminal son campaign,Bring Antifa criminal son campaign
80,zampieri2019: Offensive Posts in Social Media,   I didn t watch and will not watch  Watching the September th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a Saturday ,0,I watch watch Watching September th story came together stood shoulder shoulder made proud even issue yet people playing damn game cannot stand moment protest Saturday,I watch watch Watching September th story came together stood shoulder shoulder made proud even issue yet people playing damn game cannot stand moment protest Saturday
81,zampieri2019: Offensive Posts in Social Media,A tear is made of water and feelings ,0,A tear made water feeling,A tear made water feeling
82,zampieri2019: Offensive Posts in Social Media,   Trump addresses gun control representing the NRA I will not let you down he says ,0,Trump address gun control representing NRA I let say,Trump address gun control representing NRA I let say
83,zampieri2019: Offensive Posts in Social Media,  She is drinking so much koolaid she s bloated ,2,She drinking much koolaid bloated,She drinking much koolaid bloated
84,zampieri2019: Offensive Posts in Social Media,  Holder needs to be prosecuted,0,Holder need prosecuted,Holder need prosecuted
85,zampieri2019: Offensive Posts in Social Media,  But But BOTH PLAYERS WERE WOMEN And BOTH WERE WOMEN OF COLOR ,0,But But BOTH PLAYERS WERE WOMEN And BOTH WERE WOMEN OF COLOR,But But BOTH PLAYERS WERE WOMEN And BOTH WERE WOMEN OF COLOR
86,zampieri2019: Offensive Posts in Social Media,     The Institution only let her tweet when she behaves She is a Window Licker ,2,The Institution let tweet behaves She Window Licker,The Institution let tweet behaves She Window Licker
87,zampieri2019: Offensive Posts in Social Media, babysitting kids people how old do you think she is she has three kids me dont get mad don t get mad they don t know they don t know ,0,babysitting kid people old think three kid dont get mad get mad know know,babysitting kid people old think three kid dont get mad get mad know know
88,zampieri2019: Offensive Posts in Social Media,  well ,0,well,well
89,zampieri2019: Offensive Posts in Social Media,WTC This is a threat  Maga QAnon WakeUpAmerica ,2,WTC This threat Maga QAnon WakeUpAmerica,WTC This threat Maga QAnon WakeUpAmerica
90,zampieri2019: Offensive Posts in Social Media,  It s easily digestible content There s no need for nuance or to even understand the story They can show a picture of an ANTIFA and get the base level emotional response their content requires in order to be profitable ,0,It easily digestible content There need nuance even understand story They show picture ANTIFA get base level emotional response content requires order profitable,It easily digestible content There need nuance even understand story They show picture ANTIFA get base level emotional response content requires order profitable
91,zampieri2019: Offensive Posts in Social Media,   Try looking for plain old democrats The liberals are the ones which you can t have a conversation with ,0,Try looking plain old democrat The liberal one conversation,Try looking plain old democrat The liberal one conversation
92,zampieri2019: Offensive Posts in Social Media,  Great news Old moonbeam Just went into a coma ,0,Great news Old moonbeam Just went coma,Great news Old moonbeam Just went coma
93,zampieri2019: Offensive Posts in Social Media,  OMG HE IS SO EXTRA ILY,0,OMG HE IS SO EXTRA ILY,OMG HE IS SO EXTRA ILY
94,zampieri2019: Offensive Posts in Social Media,    Please call trump out for what he is a NARCISSISTIC SOCIOPATH ,2,Please call trump NARCISSISTIC SOCIOPATH,Please call trump NARCISSISTIC SOCIOPATH
95,zampieri2019: Offensive Posts in Social Media,   Unfortunately in America a system like that would be called racist Liberals believe exams are racist against minority groups ,0,Unfortunately America system like would called racist Liberals believe exam racist minority group,Unfortunately America system like would called racist Liberals believe exam racist minority group
96,zampieri2019: Offensive Posts in Social Media,  I know She is still alive but wondering if her career was railroaded Odd Loved her especially that day ,0,I know She still alive wondering career railroaded Odd Loved especially day,I know She still alive wondering career railroaded Odd Loved especially day
97,zampieri2019: Offensive Posts in Social Media,   Guy you are always present bet why Lol,0,Guy always present bet Lol,Guy always present bet Lol
98,zampieri2019: Offensive Posts in Social Media,   what a baby ,0,baby,baby
99,zampieri2019: Offensive Posts in Social Media,  you are very persuasive fam,0,persuasive fam,persuasive fam
100,zampieri2019: Offensive Posts in Social Media,  THAT S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY WE WILL VOTE NO TO LIBERALS IN NOVEMBER ,0,THAT S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY WE WILL VOTE NO TO LIBERALS IN NOVEMBER,THAT S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY WE WILL VOTE NO TO LIBERALS IN NOVEMBER
101,zampieri2019: Offensive Posts in Social Media,  Burt A cool dude ,0,Burt A cool dude,Burt A cool dude
102,zampieri2019: Offensive Posts in Social Media, MAGA IF YOU ARE ALL IN FOR TRUMP FOLLOW ME AND I WILL FOLLOW BACK ,0,MAGA IF YOU ARE ALL IN FOR TRUMP FOLLOW ME AND I WILL FOLLOW BACK,MAGA IF YOU ARE ALL IN FOR TRUMP FOLLOW ME AND I WILL FOLLOW BACK
103,zampieri2019: Offensive Posts in Social Media,  thank u i m finally at the point where i m okay with using heat on it again i m so happy,0,thank u finally point okay using heat happy,thank u finally point okay using heat happy
104,zampieri2019: Offensive Posts in Social Media,  Kind of like what trump does all the time huh ,0,Kind like trump time huh,Kind like trump time huh
105,zampieri2019: Offensive Posts in Social Media,  Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me ,0,Because former Antifa white house arrest citizen arrest someone explain,Because former Antifa white house arrest citizen arrest someone explain
106,zampieri2019: Offensive Posts in Social Media,  Fuck em,2,Fuck em,Fuck em
107,zampieri2019: Offensive Posts in Social Media,  Good move he is the big loser,2,Good move big loser,Good move big loser
108,zampieri2019: Offensive Posts in Social Media,  Let s get to the bottom of this DM me your zipcode and I ll check it out We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP NevinBruce,0,Let get bottom DM zipcode I check We back make sure enjoying BEST TV offer ASAP NevinBruce,Let get bottom DM zipcode I check We back make sure enjoying BEST TV offer ASAP NevinBruce
109,zampieri2019: Offensive Posts in Social Media,     For the record I know Doug Jones personally and he is only a Sen Bc we had no other credible choice He won t be at the next election ,0,For record I know Doug Jones personally Sen Bc credible choice He next election,For record I know Doug Jones personally Sen Bc credible choice He next election
110,zampieri2019: Offensive Posts in Social Media,  The president s feelings are totally opposite of CNN s feelings So what does that say about CNN They re all liberals ,0,The president feeling totally opposite CNN feeling So say CNN They liberal,The president feeling totally opposite CNN feeling So say CNN They liberal
111,zampieri2019: Offensive Posts in Social Media,  it s literally a narrative that is on par with Nazis punch antifa punch they are two sides of the same coin noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews the other just wants to prevent them from doing that and this comparison benefits fash ,2,literally narrative par Nazis punch antifa punch two side coin noooOOoOo one group want exterminate deport PoC Jews want prevent comparison benefit fash,literally narrative par Nazis punch antifa punch two side coin noooOOoOo one group want exterminate deport PoC Jews want prevent comparison benefit fash
112,zampieri2019: Offensive Posts in Social Media,   There are many dumb arguments for gun control but this may be the dumbest and most common ,2,There many dumb argument gun control may dumbest common,There many dumb argument gun control may dumbest common
113,zampieri2019: Offensive Posts in Social Media,  she is idk what s going on,0,idk going,idk going
114,zampieri2019: Offensive Posts in Social Media,   Yall need to chill he is having a really abysmal nd half Rizzo had an abysmal st half Its baseball it happens Does he have things he still needs to work on yes Has the power numbers dropped yes but he could bounce back at anytime ,0,Yall need chill really abysmal nd half Rizzo abysmal st half Its baseball happens Does thing still need work yes Has power number dropped yes could bounce back anytime,Yall need chill really abysmal nd half Rizzo abysmal st half Its baseball happens Does thing still need work yes Has power number dropped yes could bounce back anytime
115,zampieri2019: Offensive Posts in Social Media,  Dude you are old Lmao PS Go Pack Go ,0,Dude old Lmao PS Go Pack Go,Dude old Lmao PS Go Pack Go
116,zampieri2019: Offensive Posts in Social Media,                                                   That s why Trump supporters can t even wear a hat without being abused If they meet the animals on the left attack them Antifa is a branch of the Communist Socialist Nazis Democrat Party ,0,That Trump supporter even wear hat without abused If meet animal left attack Antifa branch Communist Socialist Nazis Democrat Party,That Trump supporter even wear hat without abused If meet animal left attack Antifa branch Communist Socialist Nazis Democrat Party
117,zampieri2019: Offensive Posts in Social Media,  The laughs I ve gotten from you are enough ,0,The laugh I gotten enough,The laugh I gotten enough
118,zampieri2019: Offensive Posts in Social Media,    well ,0,well,well
119,zampieri2019: Offensive Posts in Social Media,    First of all they don t even have pizza at Panera,0,First even pizza Panera,First even pizza Panera
120,zampieri2019: Offensive Posts in Social Media,    please don t kill me antifa on the other hand ,2,please kill antifa hand,please kill antifa hand
121,zampieri2019: Offensive Posts in Social Media,  Did you see Shanahan say Spoon was not healthy this game Obviously no excuses if you re out there BUT maybe it s not the all is doom sort of thing it seemed during the game Maybe he is still pretty good ,0,Did see Shanahan say Spoon healthy game Obviously excuse BUT maybe doom sort thing seemed game Maybe still pretty good,Did see Shanahan say Spoon healthy game Obviously excuse BUT maybe doom sort thing seemed game Maybe still pretty good
122,zampieri2019: Offensive Posts in Social Media,  Good girl ,0,Good girl,Good girl
123,zampieri2019: Offensive Posts in Social Media,   She is an ugly black hearted troll ,2,She ugly black hearted troll,She ugly black hearted troll
124,zampieri2019: Offensive Posts in Social Media,    You are clearly not a pokemon master I have almost in rare candy alone Over legacy moveset pokemon It just all depends on what you like to keep as collection pieces and what you value in the game ,0,You clearly pokemon master I almost rare candy alone Over legacy moveset pokemon It depends like keep collection piece value game,You clearly pokemon master I almost rare candy alone Over legacy moveset pokemon It depends like keep collection piece value game
125,zampieri2019: Offensive Posts in Social Media,  Dont believe the hype ,2,Dont believe hype,Dont believe hype
