corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
hate-speech-dataset,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,0,The image First Week March  freeman court  judge bows Sovereign  Canada YouTube  freeman court  judge bows Sovereign  Canada,The image First Week March  freeman court  judge bows Sovereign  Canada YouTube  freeman court  judge bows Sovereign  Canada
hate-speech-dataset,I do n't watch T.V. or Hollywood movies .,0,I nt watch TV  Hollywood movies ,I nt watch TV  Hollywood movies 
hate-speech-dataset,I know of Chris Rock and subsequently have hated him for a long time .,0,I know Chris Rock subsequently hated long time ,I know Chris Rock subsequently hated long time 
hate-speech-dataset,He is a pathetic little chimp .,2,He pathetic little chimp ,He pathetic little chimp 
hate-speech-dataset,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,0,Declaring war innocent White Population nation could easily justified anyone White Nationalist ,Declaring war innocent White Population nation could easily justified anyone White Nationalist 
hate-speech-dataset,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",0,Seekers Truth  Start watching  Benjamin Freedman Speaks  video  youtube ,Seekers Truth  Start watching  Benjamin Freedman Speaks  video  youtube 
hate-speech-dataset,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",0,comwatch  v   move watching   The Loss Liberty  film  youtube ,comwatch  v   move watching   The Loss Liberty  film  youtube 
hate-speech-dataset,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,0,comwatch  v   Then watch  min  Obama AIPAC  youtube ,comwatch  v   Then watch  min  Obama AIPAC  youtube 
hate-speech-dataset,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,0,comwatch  v   And entire Myron Fagan video  youtube ,comwatch  v   And entire Myron Fagan video  youtube 
hate-speech-dataset,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,0,comwatch  v   For FREE informative BOOKLET  video Zionistengineered INTENTIONAL destruction White people go  youtube ,comwatch  v   For FREE informative BOOKLET  video Zionistengineered INTENTIONAL destruction White people go  youtube 
hate-speech-dataset,com/watch ? v = n663eVTSyS8,0,comwatch  v ,comwatch  v 
hate-speech-dataset,Note!,0,Note ,Note 
hate-speech-dataset,"Wntube is now .net , not .com.",0,Wntube net  com ,Wntube net  com 
hate-speech-dataset,They have improved the site .,0,They improved site ,They improved site 
hate-speech-dataset,Please contribute and/or donate .,0,Please contribute andor donate ,Please contribute andor donate 
hate-speech-dataset,http://www.wntube.net/play.php ? vid = 1428 & code = 108,0,http    vid    code ,http    vid    code 
hate-speech-dataset,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,2,Try El Paso Texas Soo much mudd invasion river color playingcrossing  year round ,Try El Paso Texas Soo much mudd invasion river color playingcrossing  year round 
hate-speech-dataset,Welcome to the front lines ...,0,Welcome front lines ,Welcome front lines 
hate-speech-dataset,"Folk , Faith , Family Hail Victory !!",0,Folk  Faith  Family Hail Victory  ,Folk  Faith  Family Hail Victory  
hate-speech-dataset,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",2,Here video event worth watching see beautiful White lady screaming  scum  scum  scum  f    ing scum     muslim filth ,Here video event worth watching see beautiful White lady screaming  scum  scum  scum  f    ing scum     muslim filth 
hate-speech-dataset,Protesters Clash during Military Parade in Barking,0,Protesters Clash Military Parade Barking,Protesters Clash Military Parade Barking
hate-speech-dataset,Does this not show how stupid these folks can be ?,0,Does show stupid folks ,Does show stupid folks 
hate-speech-dataset,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",0,Let s order pizza delivered try assault driver  one know catch us ,Let s order pizza delivered try assault driver  one know catch us 
hate-speech-dataset,Nice to know that are still a few men out there who `` have a pair '' .,0,Nice know still men  pair  ,Nice know still men  pair  
hate-speech-dataset,Your courage and honestly are apprecated .,0,Your courage honestly apprecated ,Your courage honestly apprecated 
hate-speech-dataset,Jesus Christ is Lord indeed .,0,Jesus Christ Lord indeed ,Jesus Christ Lord indeed 
hate-speech-dataset,Y' all have a nice day .,0,Y  nice day ,Y  nice day 
hate-speech-dataset,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",2,I suppose concept male cow female cow producing MORE cows  repeating process much understand ,I suppose concept male cow female cow producing MORE cows  repeating process much understand 
hate-speech-dataset,May they all get mad cow disease .,2,May get mad cow disease ,May get mad cow disease 
hate-speech-dataset,The sooner the better .,0,The sooner better ,The sooner better 
hate-speech-dataset,"Yeah, but no one will ever hear of this .",0,Yeah  one ever hear ,Yeah  one ever hear 
hate-speech-dataset,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,0,Instead left shed tear black kids killed church bombing  years ago ,Instead left shed tear black kids killed church bombing  years ago 
hate-speech-dataset,That's all I needed to hear .,0,That s I needed hear ,That s I needed hear 
hate-speech-dataset,* Unsubscribed * Off to the SA threads .,0, Unsubscribed  Off SA threads , Unsubscribed  Off SA threads 
hate-speech-dataset,There are White folks that require a little of our time .,0,There White folks require little time ,There White folks require little time 
hate-speech-dataset,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,0,I guess Mr Pena forgot black speed skater gold glorified NBC every  minutes ,I guess Mr Pena forgot black speed skater gold glorified NBC every  minutes 
hate-speech-dataset,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,0,I m sad find right I m also sorry inform Kevin killed several years ago ,I m sad find right I m also sorry inform Kevin killed several years ago 
hate-speech-dataset,http://www.visioncircle.org/archive/003870.html,0,http  ,http  
hate-speech-dataset,I'm having a hard time believing this .,0,I m hard time believing ,I m hard time believing 
hate-speech-dataset,I have 2 friends in CS and neither has EVER worked with a black .,0,I  friends CS neither EVER worked black ,I  friends CS neither EVER worked black 
hate-speech-dataset,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",0,All coworkers white  NE asian indianpaki  except one guy worked mestizo weeks project ,All coworkers white  NE asian indianpaki  except one guy worked mestizo weeks project 
hate-speech-dataset,"Hundreds of people , but no blacks !",0,Hundreds people  blacks ,Hundreds people  blacks 
hate-speech-dataset,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",0,I also attended MastersPhD graduation ceremony major state university years ago  none CS degrees awarded blacks   So black computer geniuses hiding ,I also attended MastersPhD graduation ceremony major state university years ago  none CS degrees awarded blacks   So black computer geniuses hiding 
hate-speech-dataset,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",0,Over  hear homeschooled kids beating public school kids spelling bees ,Over  hear homeschooled kids beating public school kids spelling bees 
hate-speech-dataset,"Unfortunately , there are some poor White families where both parents work .",0,Unfortunately  poor White families parents work ,Unfortunately  poor White families parents work 
hate-speech-dataset,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",0,Perhaps school district White families left  could get together parent could teach kids one day per week ,Perhaps school district White families left  could get together parent could teach kids one day per week 
hate-speech-dataset,The parents who could n't teach on weekdays could teach on Saturday .,0,The parents could nt teach weekdays could teach Saturday ,The parents could nt teach weekdays could teach Saturday 
hate-speech-dataset,That was me .,0,That ,That 
hate-speech-dataset,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,0,I intention ever setting foot Mexico I ll take word ,I intention ever setting foot Mexico I ll take word 
hate-speech-dataset,Excellent Article !! * * * * * Why Were n't They In Jail ?,0,Excellent Article        Why Were nt They In Jail ,Excellent Article        Why Were nt They In Jail 
hate-speech-dataset,"Three of the four suspects in the death of a 12-year-old Moore County girl were repeat offenders , free on probation .",0,Three four suspects death yearold Moore County girl repeat offenders  free probation ,Three four suspects death yearold Moore County girl repeat offenders  free probation 
hate-speech-dataset,Steve Reed Reporter Three of the suspects charged with the murder of a 12-year old Moore County girl were given suspended sentences for other crimes and were free on probation at the time of her slaying .,0,Steve Reed Reporter Three suspects charged murder year old Moore County girl given suspended sentences crimes free probation time slaying ,Steve Reed Reporter Three suspects charged murder year old Moore County girl given suspended sentences crimes free probation time slaying 
hate-speech-dataset,"Perry Ross Schiro , 19 , of Harnett County was charged yesterday with murder in the Sept. 21 shooting death of Emily Elizabeth Haddock .",0,Perry Ross Schiro    Harnett County charged yesterday murder Sept  shooting death Emily Elizabeth Haddock ,Perry Ross Schiro    Harnett County charged yesterday murder Sept  shooting death Emily Elizabeth Haddock 
hate-speech-dataset,He is the fourth suspect to be charged with her murder .,0,He fourth suspect charged murder ,He fourth suspect charged murder 
hate-speech-dataset,"Also charged are Sherrod Nicholas Harrison , 19 , Michael Graham Currie , 18 , and Van Roger Smith , 16 , all of Cameron in Harnett County .",0,Also charged Sherrod Nicholas Harrison    Michael Graham Currie    Van Roger Smith    Cameron Harnett County ,Also charged Sherrod Nicholas Harrison    Michael Graham Currie    Van Roger Smith    Cameron Harnett County 
hate-speech-dataset,"Two of the suspects , Mr. Harrison and Mr. Currie , were repeat probation violators .",0,Two suspects  Mr Harrison Mr Currie  repeat probation violators ,Two suspects  Mr Harrison Mr Currie  repeat probation violators 
hate-speech-dataset,Only Mr. Smith had no prior criminal record .,0,Only Mr Smith prior criminal record ,Only Mr Smith prior criminal record 
hate-speech-dataset,"Mr. Schiro , the latest suspect to be charged in the killing , was arrested when a .22-caliber handgun , possibly the murder weapon , was found in his car .",0,Mr Schiro  latest suspect charged killing  arrested caliber handgun  possibly murder weapon  found car ,Mr Schiro  latest suspect charged killing  arrested caliber handgun  possibly murder weapon  found car 
hate-speech-dataset,"He was also charged with burglary , larceny and possession of stolen property .",0,He also charged burglary  larceny possession stolen property ,He also charged burglary  larceny possession stolen property 
hate-speech-dataset,All four suspects are being held without bond in the Moore County Jail .,0,All four suspects held without bond Moore County Jail ,All four suspects held without bond Moore County Jail 
hate-speech-dataset,The Rest Of The Story,0,The Rest Of The Story,The Rest Of The Story
hate-speech-dataset,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",2,Nevermind  found new page Knew groid  report rape ,Nevermind  found new page Knew groid  report rape 
hate-speech-dataset,Surprised it came back so fast ...,0,Surprised came back fast ,Surprised came back fast 
hate-speech-dataset,http://www.wral.com/news/local/story/1850536/,0,http  ,http  
hate-speech-dataset,"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",0,Obama membership Prince Hall  blacks  lodge become next president  according guy   Zagami,Obama membership Prince Hall  blacks  lodge become next president  according guy   Zagami
hate-speech-dataset,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,2,act negros aids right reproduce die way take care kid I cant believe millions crazy,act negros aids right reproduce die way take care kid I cant believe millions crazy
hate-speech-dataset,Good.,0,Good ,Good 
hate-speech-dataset,I hope they all starve .,2,I hope starve ,I hope starve 
hate-speech-dataset,No white person should send a single penny or lift a single finger to help them .,2,No white person send single penny lift single finger help ,No white person send single penny lift single finger help 
hate-speech-dataset,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",2,He s retarded feral negro  yes  feral humans talk occasionally pop  abandoned children   ,He s retarded feral negro  yes  feral humans talk occasionally pop  abandoned children   
hate-speech-dataset,"He walks upright , and has human arms and legs .",2,He walks upright  human arms legs ,He walks upright  human arms legs 
hate-speech-dataset,I 've seen negroes who look ( and undoubtedly act ) like him .,2,I ve seen negroes look  undoubtedly act  like ,I ve seen negroes look  undoubtedly act  like 
hate-speech-dataset,http://www.occultopedia.com/f/feral_children.htmhttp://www.ling.lancs.ac.uk/chimp/la...E4/4kamala.htmhttp://www.occultopedia.com/w/wildpeter.htm Aragorn,0,http      htmhttp   Aragorn,http      htmhttp   Aragorn
hate-speech-dataset,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",0,Again  every time I see filthy comment Georgia without providing facts  I respond ,Again  every time I see filthy comment Georgia without providing facts  I respond 
hate-speech-dataset,I will respond until Armenian scum will stop,2,I respond Armenian scum stop,I respond Armenian scum stop
hate-speech-dataset,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",0,The reason large white families encouraged days build population white Germans  ravaged jewish attacks  hyperinflation  s ,The reason large white families encouraged days build population white Germans  ravaged jewish attacks  hyperinflation  s 
hate-speech-dataset,I see a nation where I can walk out my front door and not feel like a minority in my own country .,0,I see nation I walk front door feel like minority country ,I see nation I walk front door feel like minority country 
hate-speech-dataset,Where a white woman can go about in public and not fear assault by muds .,2,Where white woman go public fear assault muds ,Where white woman go public fear assault muds 
hate-speech-dataset,"No, I see that as giving up .",0,No  I see giving ,No  I see giving 
hate-speech-dataset,"I hope one day to proudly say again that I am an American , when we take this country back .",0,I hope one day proudly say I American  take country back ,I hope one day proudly say I American  take country back 
hate-speech-dataset,BTL,0,BTL,BTL
hate-speech-dataset,"OK, I have been through some of the other threads on this section about NS and watched a few videos on YT .",0,OK  I threads section NS watched videos YT ,OK  I threads section NS watched videos YT 
hate-speech-dataset,It has obviously been misunderstood and i would been keen to learn more .,0,It obviously misunderstood would keen learn ,It obviously misunderstood would keen learn 
hate-speech-dataset,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,2,I retract  always  Always animal lacks skills properly raise  half  human child ,I retract  always  Always animal lacks skills properly raise  half  human child 
hate-speech-dataset,I apologize for my ignorance .,0,I apologize ignorance ,I apologize ignorance 
hate-speech-dataset,Baby steps .,0,Baby steps ,Baby steps 
hate-speech-dataset,"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",0,I nt think anyone insinuating equal non whites  would ignore white nations ,I nt think anyone insinuating equal non whites  would ignore white nations 
hate-speech-dataset,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,2,When whites today much white guilt laid upon feel act black sexual relations children blacks accepted problem white race memo ,When whites today much white guilt laid upon feel act black sexual relations children blacks accepted problem white race memo 
hate-speech-dataset,These people have no idea about who they are or where they came from and any knowledge that they do have has guilt attached to it .,0,These people idea came knowledge guilt attached ,These people idea came knowledge guilt attached 
hate-speech-dataset,If whites did have some knowledge and a little more recognition was put out there I think most of them would feel a little more pride of who they are and stick to the white race .,0,If whites knowledge little recognition put I think would feel little pride stick white race ,If whites knowledge little recognition put I think would feel little pride stick white race 
hate-speech-dataset,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,2,There problems different classes inside race white since whites joined fight nonwhites enemies ,There problems different classes inside race white since whites joined fight nonwhites enemies 
hate-speech-dataset,If a person is white and he is a Christian or a Pagan then i consider him as my brother or sister no matter whatever profession he is into .,0,If person white Christian Pagan consider brother sister matter whatever profession ,If person white Christian Pagan consider brother sister matter whatever profession 
hate-speech-dataset,Can you give any examples of progress made by skinheads or the Klan ?,0,Can give examples progress made skinheads Klan ,Can give examples progress made skinheads Klan 
hate-speech-dataset,Seems to me they are in precipitous decline .,0,Seems precipitous decline ,Seems precipitous decline 
hate-speech-dataset,Ive been around here for four years and seen almost no class divide .,0,Ive around four years seen almost class divide ,Ive around four years seen almost class divide 
hate-speech-dataset,"I dont really like even talking about it , because I fear we will create a division where there is none .",0,I dont really like even talking  I fear create division none ,I dont really like even talking  I fear create division none 
hate-speech-dataset,Black ``women''on London transport ...,2,Black  women  London transport ,Black  women  London transport 
hate-speech-dataset,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTube",0,Racist woman rant London part   YouTube ORIGINAL Racist Black Girls Fighting  South London Railway Balham Mitcham   YouTube,Racist woman rant London part   YouTube ORIGINAL Racist Black Girls Fighting  South London Railway Balham Mitcham   YouTube
hate-speech-dataset,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",0,Is nt South African chocolate made overseas companies based SA   British Swiss  Would  Mars bar  taste different made SA compared one England   QUOTE  I would thought  stuff tastes different ,Is nt South African chocolate made overseas companies based SA   British Swiss  Would  Mars bar  taste different made SA compared one England   QUOTE  I would thought  stuff tastes different 
hate-speech-dataset,I think it has something to do with the type of sugar or where the sugar was originally grown .,0,I think something type sugar sugar originally grown ,I think something type sugar sugar originally grown 
hate-speech-dataset,BTW - I do n't recall seeing a Mars Bar in S.A ?,0,BTW  I nt recall seeing Mars Bar SA ,BTW  I nt recall seeing Mars Bar SA 
hate-speech-dataset,I never drink diet anything either because of the aspartame and water is for the fish .,0,I never drink diet anything either aspartame water fish ,I never drink diet anything either aspartame water fish 
hate-speech-dataset,"I try to avoid the GMO stuff too , but since they do n't label the stuff it 's hard to do .",0,I try avoid GMO stuff  since nt label stuff s hard ,I try avoid GMO stuff  since nt label stuff s hard 
hate-speech-dataset,And then you need to avoid High Fructose Corn Syrup - bad for you and made from GM corn .,0,And need avoid High Fructose Corn Syrup  bad made GM corn ,And need avoid High Fructose Corn Syrup  bad made GM corn 
hate-speech-dataset,You also need to avoid anything Soya .,0,You also need avoid anything Soya ,You also need avoid anything Soya 
hate-speech-dataset,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,0,And pesticides fresh    fruit veggies ,And pesticides fresh    fruit veggies 
hate-speech-dataset,And the non-edible chemicals in the processed and sometimes not so processed food .,0,And nonedible chemicals processed sometimes processed food ,And nonedible chemicals processed sometimes processed food 
hate-speech-dataset,In the end the only safe thing to eat is grass if you are lucky enough to have your own garden ( or grow your own food if you have the space ) and hope to hell the government here does n't do chemical spraying .,0,In end safe thing eat grass lucky enough garden  grow food space  hope hell government nt chemical spraying ,In end safe thing eat grass lucky enough garden  grow food space  hope hell government nt chemical spraying 
hate-speech-dataset,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",0,Hell  way deliberately poisoning I m surprised lasted long ,Hell  way deliberately poisoning I m surprised lasted long 
hate-speech-dataset,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",2,If kept check  may living actual Planet Apes soon ,If kept check  may living actual Planet Apes soon 
hate-speech-dataset,YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ;,0,YouTube      Kenya  Hacked death panga front film crew      rlm ,YouTube      Kenya  Hacked death panga front film crew      rlm 
hate-speech-dataset,Racist attack by blacks on a young white girl in France .,0,Racist attack blacks young white girl France ,Racist attack blacks young white girl France 
