corpus_name,raw_sentence,label,clean_sentence_training,clean_sentence_EDA
hatecheck-data,I feel nothing but contempt for disabled people. ,2,I feel nothing contempt disabled people ,I feel nothing contempt disabled people 
hatecheck-data,I feel nothing but contempt for Muslims. ,2,I feel nothing contempt Muslims ,I feel nothing contempt Muslims 
hatecheck-data,I feel nothing but contempt for immigrants. ,2,I feel nothing contempt immigrants ,I feel nothing contempt immigrants 
hatecheck-data,These women disgust me so much. ,2,These women disgust much ,These women disgust much 
hatecheck-data,These trans people disgust me so much. ,2,These trans people disgust much ,These trans people disgust much 
hatecheck-data,These gay people disgust me so much. ,2,These gay people disgust much ,These gay people disgust much 
hatecheck-data,These black people disgust me so much. ,2,These black people disgust much ,These black people disgust much 
hatecheck-data,These disabled people disgust me so much. ,2,These disabled people disgust much ,These disabled people disgust much 
hatecheck-data,These Muslims disgust me so much. ,2,These Muslims disgust much ,These Muslims disgust much 
hatecheck-data,These immigrants disgust me so much. ,2,These immigrants disgust much ,These immigrants disgust much 
hatecheck-data,Women are the absolute worst. ,2,Women absolute worst ,Women absolute worst 
hatecheck-data,Trans people are the absolute worst. ,2,Trans people absolute worst ,Trans people absolute worst 
hatecheck-data,Gay people are the absolute worst. ,2,Gay people absolute worst ,Gay people absolute worst 
hatecheck-data,Black people are the absolute worst. ,2,Black people absolute worst ,Black people absolute worst 
hatecheck-data,Disabled people are the absolute worst. ,2,Disabled people absolute worst ,Disabled people absolute worst 
hatecheck-data,Muslims are the absolute worst. ,2,Muslims absolute worst ,Muslims absolute worst 
hatecheck-data,Immigrants are the absolute worst. ,2,Immigrants absolute worst ,Immigrants absolute worst 
hatecheck-data,You women make me sick. ,2,You women make sick ,You women make sick 
hatecheck-data,You trans people make me sick. ,2,You trans people make sick ,You trans people make sick 
hatecheck-data,You gay people make me sick. ,2,You gay people make sick ,You gay people make sick 
hatecheck-data,You black people make me sick. ,2,You black people make sick ,You black people make sick 
hatecheck-data,You disabled people make me sick. ,2,You disabled people make sick ,You disabled people make sick 
hatecheck-data,You Muslims make me sick. ,2,You Muslims make sick ,You Muslims make sick 
hatecheck-data,You immigrants make me sick. ,2,You immigrants make sick ,You immigrants make sick 
hatecheck-data,There is nothing worse than a woman. ,2,There nothing worse woman ,There nothing worse woman 
hatecheck-data,There is nothing worse than a trans person. ,2,There nothing worse trans person ,There nothing worse trans person 
hatecheck-data,There is nothing worse than a gay person. ,2,There nothing worse gay person ,There nothing worse gay person 
hatecheck-data,There is nothing worse than a black person. ,2,There nothing worse black person ,There nothing worse black person 
hatecheck-data,There is nothing worse than a disabled person. ,2,There nothing worse disabled person ,There nothing worse disabled person 
hatecheck-data,There is nothing worse than a Muslim. ,2,There nothing worse Muslim ,There nothing worse Muslim 
hatecheck-data,There is nothing worse than an immigrant. ,2,There nothing worse immigrant ,There nothing worse immigrant 
hatecheck-data,Seeing women in this place makes me so angry. ,2,Seeing women place makes angry ,Seeing women place makes angry 
hatecheck-data,Seeing trans people in this place makes me so angry. ,2,Seeing trans people place makes angry ,Seeing trans people place makes angry 
hatecheck-data,Seeing gay people in this place makes me so angry. ,2,Seeing gay people place makes angry ,Seeing gay people place makes angry 
hatecheck-data,Seeing black people in this place makes me so angry. ,2,Seeing black people place makes angry ,Seeing black people place makes angry 
hatecheck-data,Seeing disabled people in this place makes me so angry. ,2,Seeing disabled people place makes angry ,Seeing disabled people place makes angry 
hatecheck-data,Seeing Muslims in this place makes me so angry. ,2,Seeing Muslims place makes angry ,Seeing Muslims place makes angry 
hatecheck-data,Seeing immigrants in this place makes me so angry. ,2,Seeing immigrants place makes angry ,Seeing immigrants place makes angry 
hatecheck-data,Women who think they are my equal fill me with so much rage. ,2,Women think equal fill much rage ,Women think equal fill much rage 
hatecheck-data,Trans people who think they are my equal fill me with so much rage. ,2,Trans people think equal fill much rage ,Trans people think equal fill much rage 
hatecheck-data,Gay people who think they are my equal fill me with so much rage. ,2,Gay people think equal fill much rage ,Gay people think equal fill much rage 
hatecheck-data,Black people who think they are my equal fill me with so much rage. ,2,Black people think equal fill much rage ,Black people think equal fill much rage 
hatecheck-data,Disabled people who think they are my equal fill me with so much rage. ,2,Disabled people think equal fill much rage ,Disabled people think equal fill much rage 
hatecheck-data,Muslims who think they are my equal fill me with so much rage. ,2,Muslims think equal fill much rage ,Muslims think equal fill much rage 
hatecheck-data,Immigrants who think they are my equal fill me with so much rage. ,2,Immigrants think equal fill much rage ,Immigrants think equal fill much rage 
hatecheck-data,Women like you make me furious. ,2,Women like make furious ,Women like make furious 
hatecheck-data,Trans people like you make me furious. ,2,Trans people like make furious ,Trans people like make furious 
hatecheck-data,Gay people like you make me furious. ,2,Gay people like make furious ,Gay people like make furious 
hatecheck-data,Black people like you make me furious. ,2,Black people like make furious ,Black people like make furious 
hatecheck-data,Disabled people like you make me furious. ,2,Disabled people like make furious ,Disabled people like make furious 
hatecheck-data,Muslims like you make me furious. ,2,Muslims like make furious ,Muslims like make furious 
hatecheck-data,Immigrants like you make me furious. ,2,Immigrants like make furious ,Immigrants like make furious 
hatecheck-data,You and all the other women in this country make me boil with anger. ,2,You women country make boil anger ,You women country make boil anger 
hatecheck-data,You and all the other trans people in this country make me boil with anger. ,2,You trans people country make boil anger ,You trans people country make boil anger 
hatecheck-data,You and all the other gay people in this country make me boil with anger. ,2,You gay people country make boil anger ,You gay people country make boil anger 
hatecheck-data,You and all the other black people in this country make me boil with anger. ,2,You black people country make boil anger ,You black people country make boil anger 
hatecheck-data,You and all the other disabled people in this country make me boil with anger. ,2,You disabled people country make boil anger ,You disabled people country make boil anger 
hatecheck-data,You and all the other Muslims in this country make me boil with anger. ,2,You Muslims country make boil anger ,You Muslims country make boil anger 
hatecheck-data,You and all the other immigrants in this country make me boil with anger. ,2,You immigrants country make boil anger ,You immigrants country make boil anger 
hatecheck-data,The utter scorn I feel for women is hard to to put into words. ,2,The utter scorn I feel women hard put words ,The utter scorn I feel women hard put words 
hatecheck-data,The utter scorn I feel for trans people is hard to to put into words. ,2,The utter scorn I feel trans people hard put words ,The utter scorn I feel trans people hard put words 
hatecheck-data,The utter scorn I feel for gay people is hard to to put into words. ,2,The utter scorn I feel gay people hard put words ,The utter scorn I feel gay people hard put words 
hatecheck-data,The utter scorn I feel for black people is hard to to put into words. ,2,The utter scorn I feel black people hard put words ,The utter scorn I feel black people hard put words 
hatecheck-data,The utter scorn I feel for disabled people is hard to to put into words. ,2,The utter scorn I feel disabled people hard put words ,The utter scorn I feel disabled people hard put words 
hatecheck-data,The utter scorn I feel for Muslims is hard to to put into words. ,2,The utter scorn I feel Muslims hard put words ,The utter scorn I feel Muslims hard put words 
hatecheck-data,The utter scorn I feel for immigrants is hard to to put into words. ,2,The utter scorn I feel immigrants hard put words ,The utter scorn I feel immigrants hard put words 
hatecheck-data,I absolutely abhor all women. ,2,I absolutely abhor women ,I absolutely abhor women 
hatecheck-data,I absolutely abhor all trans people. ,2,I absolutely abhor trans people ,I absolutely abhor trans people 
hatecheck-data,I absolutely abhor all gay people. ,2,I absolutely abhor gay people ,I absolutely abhor gay people 
hatecheck-data,I absolutely abhor all black people. ,2,I absolutely abhor black people ,I absolutely abhor black people 
hatecheck-data,I absolutely abhor all disabled people. ,2,I absolutely abhor disabled people ,I absolutely abhor disabled people 
hatecheck-data,I absolutely abhor all Muslims. ,2,I absolutely abhor Muslims ,I absolutely abhor Muslims 
hatecheck-data,I absolutely abhor all immigrants. ,2,I absolutely abhor immigrants ,I absolutely abhor immigrants 
hatecheck-data,Women are disgusting. ,2,Women disgusting ,Women disgusting 
hatecheck-data,Trans people are disgusting. ,2,Trans people disgusting ,Trans people disgusting 
hatecheck-data,Gay people are disgusting. ,2,Gay people disgusting ,Gay people disgusting 
hatecheck-data,Black people are disgusting. ,2,Black people disgusting ,Black people disgusting 
hatecheck-data,Disabled people are disgusting. ,2,Disabled people disgusting ,Disabled people disgusting 
hatecheck-data,Muslims are disgusting. ,2,Muslims disgusting ,Muslims disgusting 
hatecheck-data,Immigrants are disgusting. ,2,Immigrants disgusting ,Immigrants disgusting 
hatecheck-data,All women are repulsive. ,2,All women repulsive ,All women repulsive 
hatecheck-data,All trans people are repulsive. ,2,All trans people repulsive ,All trans people repulsive 
hatecheck-data,All gay people are repulsive. ,2,All gay people repulsive ,All gay people repulsive 
hatecheck-data,All black people are repulsive. ,2,All black people repulsive ,All black people repulsive 
hatecheck-data,All disabled people are repulsive. ,2,All disabled people repulsive ,All disabled people repulsive 
hatecheck-data,All Muslims are repulsive. ,2,All Muslims repulsive ,All Muslims repulsive 
hatecheck-data,All immigrants are repulsive. ,2,All immigrants repulsive ,All immigrants repulsive 
hatecheck-data,Women are absolutely despicable. ,2,Women absolutely despicable ,Women absolutely despicable 
hatecheck-data,Trans people are absolutely despicable. ,2,Trans people absolutely despicable ,Trans people absolutely despicable 
hatecheck-data,Gay people are absolutely despicable. ,2,Gay people absolutely despicable ,Gay people absolutely despicable 
hatecheck-data,Black people are absolutely despicable. ,2,Black people absolutely despicable ,Black people absolutely despicable 
hatecheck-data,Disabled people are absolutely despicable. ,2,Disabled people absolutely despicable ,Disabled people absolutely despicable 
hatecheck-data,Muslims are absolutely despicable. ,2,Muslims absolutely despicable ,Muslims absolutely despicable 
hatecheck-data,Immigrants are absolutely despicable. ,2,Immigrants absolutely despicable ,Immigrants absolutely despicable 
hatecheck-data,Women are just so sickening. ,2,Women sickening ,Women sickening 
hatecheck-data,Trans people are just so sickening. ,2,Trans people sickening ,Trans people sickening 
hatecheck-data,Gay people are just so sickening. ,2,Gay people sickening ,Gay people sickening 
hatecheck-data,Black people are just so sickening. ,2,Black people sickening ,Black people sickening 
hatecheck-data,Disabled people are just so sickening. ,2,Disabled people sickening ,Disabled people sickening 
hatecheck-data,Muslims are just so sickening. ,2,Muslims sickening ,Muslims sickening 
hatecheck-data,Immigrants are just so sickening. ,2,Immigrants sickening ,Immigrants sickening 
hatecheck-data,Women can't stop themselves from being absolutely revolting. ,2,Women ca nt stop absolutely revolting ,Women ca nt stop absolutely revolting 
hatecheck-data,Trans people can't stop themselves from being absolutely revolting. ,2,Trans people ca nt stop absolutely revolting ,Trans people ca nt stop absolutely revolting 
hatecheck-data,Gay people can't stop themselves from being absolutely revolting. ,2,Gay people ca nt stop absolutely revolting ,Gay people ca nt stop absolutely revolting 
hatecheck-data,Black people can't stop themselves from being absolutely revolting. ,2,Black people ca nt stop absolutely revolting ,Black people ca nt stop absolutely revolting 
hatecheck-data,Disabled people can't stop themselves from being absolutely revolting. ,2,Disabled people ca nt stop absolutely revolting ,Disabled people ca nt stop absolutely revolting 
hatecheck-data,Muslims can't stop themselves from being absolutely revolting. ,2,Muslims ca nt stop absolutely revolting ,Muslims ca nt stop absolutely revolting 
hatecheck-data,Immigrants can't stop themselves from being absolutely revolting. ,2,Immigrants ca nt stop absolutely revolting ,Immigrants ca nt stop absolutely revolting 
hatecheck-data,Women like you are repugnant. ,2,Women like repugnant ,Women like repugnant 
hatecheck-data,Trans people like you are repugnant. ,2,Trans people like repugnant ,Trans people like repugnant 
hatecheck-data,Gay people like you are repugnant. ,2,Gay people like repugnant ,Gay people like repugnant 
hatecheck-data,Black people like you are repugnant. ,2,Black people like repugnant ,Black people like repugnant 
hatecheck-data,Disabled people like you are repugnant. ,2,Disabled people like repugnant ,Disabled people like repugnant 
hatecheck-data,Muslims like you are repugnant. ,2,Muslims like repugnant ,Muslims like repugnant 
hatecheck-data,Immigrants like you are repugnant. ,2,Immigrants like repugnant ,Immigrants like repugnant 
hatecheck-data,You women are all dishonest. ,2,You women dishonest ,You women dishonest 
hatecheck-data,You trans people are all dishonest. ,2,You trans people dishonest ,You trans people dishonest 
hatecheck-data,You gay people are all dishonest. ,2,You gay people dishonest ,You gay people dishonest 
hatecheck-data,You black people are all dishonest. ,2,You black people dishonest ,You black people dishonest 
hatecheck-data,You disabled people are all dishonest. ,2,You disabled people dishonest ,You disabled people dishonest 
hatecheck-data,You Muslims are all dishonest. ,2,You Muslims dishonest ,You Muslims dishonest 
hatecheck-data,You immigrants are all dishonest. ,2,You immigrants dishonest ,You immigrants dishonest 
hatecheck-data,All women like them are vile. ,2,All women like vile ,All women like vile 
hatecheck-data,All trans people like them are vile. ,2,All trans people like vile ,All trans people like vile 
hatecheck-data,All gay people like them are vile. ,2,All gay people like vile ,All gay people like vile 
hatecheck-data,All black people like them are vile. ,2,All black people like vile ,All black people like vile 
hatecheck-data,All disabled people like them are vile. ,2,All disabled people like vile ,All disabled people like vile 
hatecheck-data,All Muslims like them are vile. ,2,All Muslims like vile ,All Muslims like vile 
hatecheck-data,All immigrants like them are vile. ,2,All immigrants like vile ,All immigrants like vile 
hatecheck-data,Women like you are just pathetic. ,2,Women like pathetic ,Women like pathetic 
hatecheck-data,Trans people like you are just pathetic. ,2,Trans people like pathetic ,Trans people like pathetic 
hatecheck-data,Gay people like you are just pathetic. ,2,Gay people like pathetic ,Gay people like pathetic 
hatecheck-data,Black people like you are just pathetic. ,2,Black people like pathetic ,Black people like pathetic 
hatecheck-data,Disabled people like you are just pathetic. ,2,Disabled people like pathetic ,Disabled people like pathetic 
hatecheck-data,Muslims like you are just pathetic. ,2,Muslims like pathetic ,Muslims like pathetic 
hatecheck-data,Immigrants like you are just pathetic. ,2,Immigrants like pathetic ,Immigrants like pathetic 
hatecheck-data,Women with any power are a threat to civilisation. ,2,Women power threat civilisation ,Women power threat civilisation 
hatecheck-data,Trans people with any power are a threat to civilisation. ,2,Trans people power threat civilisation ,Trans people power threat civilisation 
hatecheck-data,Gay people with any power are a threat to civilisation. ,2,Gay people power threat civilisation ,Gay people power threat civilisation 
hatecheck-data,Black people with any power are a threat to civilisation. ,2,Black people power threat civilisation ,Black people power threat civilisation 
hatecheck-data,Disabled people with any power are a threat to civilisation. ,2,Disabled people power threat civilisation ,Disabled people power threat civilisation 
hatecheck-data,Muslims with any power are a threat to civilisation. ,2,Muslims power threat civilisation ,Muslims power threat civilisation 
hatecheck-data,Immigrants with any power are a threat to civilisation. ,2,Immigrants power threat civilisation ,Immigrants power threat civilisation 
hatecheck-data,Women being in charge is a danger to our country. ,2,Women charge danger country ,Women charge danger country 
hatecheck-data,Trans people being in charge is a danger to our country. ,2,Trans people charge danger country ,Trans people charge danger country 
hatecheck-data,Gay people being in charge is a danger to our country. ,2,Gay people charge danger country ,Gay people charge danger country 
hatecheck-data,Black people being in charge is a danger to our country. ,2,Black people charge danger country ,Black people charge danger country 
hatecheck-data,Disabled people being in charge is a danger to our country. ,2,Disabled people charge danger country ,Disabled people charge danger country 
hatecheck-data,Muslims being in charge is a danger to our country. ,2,Muslims charge danger country ,Muslims charge danger country 
hatecheck-data,Immigrants being in charge is a danger to our country. ,2,Immigrants charge danger country ,Immigrants charge danger country 
hatecheck-data,It's in women's nature to be uncivilised. ,2,It s women s nature uncivilised ,It s women s nature uncivilised 
hatecheck-data,It's in trans people's nature to be uncivilised. ,2,It s trans people s nature uncivilised ,It s trans people s nature uncivilised 
hatecheck-data,It's in gay people's nature to be uncivilised. ,2,It s gay people s nature uncivilised ,It s gay people s nature uncivilised 
hatecheck-data,It's in black people's nature to be uncivilised. ,2,It s black people s nature uncivilised ,It s black people s nature uncivilised 
hatecheck-data,It's in disabled people's nature to be uncivilised. ,2,It s disabled people s nature uncivilised ,It s disabled people s nature uncivilised 
hatecheck-data,It's in Muslims's nature to be uncivilised. ,2,It s Muslims s nature uncivilised ,It s Muslims s nature uncivilised 
hatecheck-data,It's in immigrants's nature to be uncivilised. ,2,It s immigrants s nature uncivilised ,It s immigrants s nature uncivilised 
hatecheck-data,Only women are that violent and cruel. ,2,Only women violent cruel ,Only women violent cruel 
hatecheck-data,Only trans people are that violent and cruel. ,2,Only trans people violent cruel ,Only trans people violent cruel 
hatecheck-data,Only gay people are that violent and cruel. ,2,Only gay people violent cruel ,Only gay people violent cruel 
hatecheck-data,Only black people are that violent and cruel. ,2,Only black people violent cruel ,Only black people violent cruel 
hatecheck-data,Only disabled people are that violent and cruel. ,2,Only disabled people violent cruel ,Only disabled people violent cruel 
hatecheck-data,Only Muslims are that violent and cruel. ,2,Only Muslims violent cruel ,Only Muslims violent cruel 
hatecheck-data,Only immigrants are that violent and cruel. ,2,Only immigrants violent cruel ,Only immigrants violent cruel 
hatecheck-data,Only women can be so ignorant. ,2,Only women ignorant ,Only women ignorant 
hatecheck-data,Only trans people can be so ignorant. ,2,Only trans people ignorant ,Only trans people ignorant 
hatecheck-data,Only gay people can be so ignorant. ,2,Only gay people ignorant ,Only gay people ignorant 
hatecheck-data,Only black people can be so ignorant. ,2,Only black people ignorant ,Only black people ignorant 
hatecheck-data,Only disabled people can be so ignorant. ,2,Only disabled people ignorant ,Only disabled people ignorant 
hatecheck-data,Only Muslims can be so ignorant. ,2,Only Muslims ignorant ,Only Muslims ignorant 
hatecheck-data,Only immigrants can be so ignorant. ,2,Only immigrants ignorant ,Only immigrants ignorant 
hatecheck-data,No one else is as filthy as these women. ,2,No one else filthy women ,No one else filthy women 
hatecheck-data,No one else is as filthy as these trans people. ,2,No one else filthy trans people ,No one else filthy trans people 
hatecheck-data,No one else is as filthy as these gay people. ,2,No one else filthy gay people ,No one else filthy gay people 
hatecheck-data,No one else is as filthy as these black people. ,2,No one else filthy black people ,No one else filthy black people 
hatecheck-data,No one else is as filthy as these disabled people. ,2,No one else filthy disabled people ,No one else filthy disabled people 
hatecheck-data,No one else is as filthy as these Muslims. ,2,No one else filthy Muslims ,No one else filthy Muslims 
hatecheck-data,No one else is as filthy as these immigrants. ,2,No one else filthy immigrants ,No one else filthy immigrants 
hatecheck-data,Typical of a woman to be that stupid. ,2,Typical woman stupid ,Typical woman stupid 
hatecheck-data,Typical of a trans person to be that stupid. ,2,Typical trans person stupid ,Typical trans person stupid 
hatecheck-data,Typical of a gay person to be that stupid. ,2,Typical gay person stupid ,Typical gay person stupid 
hatecheck-data,Typical of a black person to be that stupid. ,2,Typical black person stupid ,Typical black person stupid 
hatecheck-data,Typical of a disabled person to be that stupid. ,2,Typical disabled person stupid ,Typical disabled person stupid 
hatecheck-data,Typical of a Muslim to be that stupid. ,2,Typical Muslim stupid ,Typical Muslim stupid 
hatecheck-data,Typical of an immigrant to be that stupid. ,2,Typical immigrant stupid ,Typical immigrant stupid 
hatecheck-data,Women are without a doubt the stupidest people on this planet. ,2,Women without doubt stupidest people planet ,Women without doubt stupidest people planet 
hatecheck-data,Trans people are without a doubt the stupidest people on this planet. ,2,Trans people without doubt stupidest people planet ,Trans people without doubt stupidest people planet 
hatecheck-data,Gay people are without a doubt the stupidest people on this planet. ,2,Gay people without doubt stupidest people planet ,Gay people without doubt stupidest people planet 
hatecheck-data,Black people are without a doubt the stupidest people on this planet. ,2,Black people without doubt stupidest people planet ,Black people without doubt stupidest people planet 
hatecheck-data,Disabled people are without a doubt the stupidest people on this planet. ,2,Disabled people without doubt stupidest people planet ,Disabled people without doubt stupidest people planet 
hatecheck-data,Muslims are without a doubt the stupidest people on this planet. ,2,Muslims without doubt stupidest people planet ,Muslims without doubt stupidest people planet 
hatecheck-data,Immigrants are without a doubt the stupidest people on this planet. ,2,Immigrants without doubt stupidest people planet ,Immigrants without doubt stupidest people planet 
hatecheck-data,It's always the woman that is the dumb one. ,2,It s always woman dumb one ,It s always woman dumb one 
hatecheck-data,It's always the trans person that is the dumb one. ,2,It s always trans person dumb one ,It s always trans person dumb one 
hatecheck-data,It's always the gay person that is the dumb one. ,2,It s always gay person dumb one ,It s always gay person dumb one 
hatecheck-data,It's always the black person that is the dumb one. ,2,It s always black person dumb one ,It s always black person dumb one 
hatecheck-data,It's always the disabled person that is the dumb one. ,2,It s always disabled person dumb one ,It s always disabled person dumb one 
hatecheck-data,It's always the Muslim that is the dumb one. ,2,It s always Muslim dumb one ,It s always Muslim dumb one 
hatecheck-data,It's always the immigrant that is the dumb one. ,2,It s always immigrant dumb one ,It s always immigrant dumb one 
hatecheck-data,Women are just the dumbest people. ,2,Women dumbest people ,Women dumbest people 
hatecheck-data,Trans people are just the dumbest people. ,2,Trans people dumbest people ,Trans people dumbest people 
hatecheck-data,Gay people are just the dumbest people. ,2,Gay people dumbest people ,Gay people dumbest people 
hatecheck-data,Black people are just the dumbest people. ,2,Black people dumbest people ,Black people dumbest people 
hatecheck-data,Disabled people are just the dumbest people. ,2,Disabled people dumbest people ,Disabled people dumbest people 
hatecheck-data,Muslims are just the dumbest people. ,2,Muslims dumbest people ,Muslims dumbest people 
hatecheck-data,Immigrants are just the dumbest people. ,2,Immigrants dumbest people ,Immigrants dumbest people 
hatecheck-data,Women really are brainless without exception. ,2,Women really brainless without exception ,Women really brainless without exception 
hatecheck-data,Trans people really are brainless without exception. ,2,Trans people really brainless without exception ,Trans people really brainless without exception 
hatecheck-data,Gay people really are brainless without exception. ,2,Gay people really brainless without exception ,Gay people really brainless without exception 
hatecheck-data,Black people really are brainless without exception. ,2,Black people really brainless without exception ,Black people really brainless without exception 
hatecheck-data,Disabled people really are brainless without exception. ,2,Disabled people really brainless without exception ,Disabled people really brainless without exception 
hatecheck-data,Muslims really are brainless without exception. ,2,Muslims really brainless without exception ,Muslims really brainless without exception 
hatecheck-data,Immigrants really are brainless without exception. ,2,Immigrants really brainless without exception ,Immigrants really brainless without exception 
hatecheck-data,Women are scum. ,2,Women scum ,Women scum 
hatecheck-data,Trans people are scum. ,2,Trans people scum ,Trans people scum 
hatecheck-data,Gay people are scum. ,2,Gay people scum ,Gay people scum 
hatecheck-data,Black people are scum. ,2,Black people scum ,Black people scum 
hatecheck-data,Disabled people are scum. ,2,Disabled people scum ,Disabled people scum 
hatecheck-data,Muslims are scum. ,2,Muslims scum ,Muslims scum 
hatecheck-data,Immigrants are scum. ,2,Immigrants scum ,Immigrants scum 
hatecheck-data,Women are worthless dirt. ,2,Women worthless dirt ,Women worthless dirt 
